ID,Año,Versión,Área,Promesa,Cumplimiento Total,Coherencia Total,,Boletín,Título del proyecto,Link,1° trámite,Veto,Insistencia,2°-3° trámite,Comisión Mixta,Tribunal Constitucional,Aprobación Presidencial,Promulgado,"Rechazado
/Retirado",Avance,Simple,Suma,Inmediata,Total,Marginal,Parcial Minima,Parcial alto,Total,"Escala de Coherencia
",Justificación,
11,2016,enero,Cultura,"Adicionalmente, desarrollaremos una política sobre cultura digital, que nos permita aprovechar de mejor manera el desarrollo tecnológico, para, por una parte, ampliar las posibilidades para las políticas públicas de fomento a la creación cultural y, por la otra, democratizar, promover y facilitar, de mejor manera, el acceso a bienes culturales por parte de la ciudadanía.",0%,1,,,,,,,,,,,,,,0,,,,0,,,,,1,,
12,2016,febrero,Cultura,"En los primeros 100 días de Gobierno enviaremos al Congreso un proyecto de ley que crea el Ministerio de Cultura y Patrimonio, que será una institución con énfasis locales, que promueva la cultura, las artes y la interculturalidad, para lo cual, presentaremos un proyecto de ley al Congreso.",40%,4,,,,,1,,,,,,,,,"0,4",,,,0,,,,1,4,,
13,2016,marzo,Cultura,"Implementaremos políticas públicas que permitan asegurar una adecuada protección y circulación de la producción audiovisual, musical, así como del libro.",0%,1,,,,,,,,,,,,,,0,,,,0,,,,,1,,
14,2016,abril,Cultura,"Introduciremos modificaciones al Consejo Nacional de Televisión, incorporándolo al Ministerio de Cultura y Patrimonio, ampliando sus atribuciones, manteniendo su rol de regulador de la TV, enfatizando su rol de fomento de la calidad de la industria televisiva, tanto a nivel de TV abierta, pago, regional y comunitaria.",0%,1,,,,,,,,,,,,,,0,,,,0,,,,,1,,
15,2016,mayo,Cultura,"Enviaremos un proyecto de ley al Congreso para realizar un conjunto de modificaciones en materia de televisión pública. Se deben ampliar las facultades de TVN para un cumplimiento efectivo de los objetivos asociados con la misión pública que la ley le entrega. Al directorio se le aplicarán los deberes y régimen de responsabilidades de los directores de las Sociedades Anónimas y se debe imponer la obligación al Directorio del canal público de dar cuenta de su gestión una vez al año. TVN, debe incorporar financiamiento público de manera sistemática, con el objeto de que pueda producir bienes públicos socialmente valorados que los privados no tienen obligación de producir.",0%,1,,,,,,,,,,,,,,0,,,,0,,,,,1,,
16,2016,junio,Cultura,Perfeccionaremos la legislación y fiscalización del cumplimiento de los derechos laborales aplicables a los distintos sectores de la cultura.,0%,1,,,,,,,,,,,,,,0,,,,0,,,,,1,,
17,2016,julio,Defensa,"En el ámbito doméstico nuestro objetivo fundamental será retomar con ímpetu las reformas institucionales para el desarrollo de una Defensa Nacional mejor preparada para las tareas que le entregue la autoridad civil, logrando ser más transparente, y más eficiente y eficaz. En este sentido, se considera necesario el fortalecimiento del mando del Jefe del Estado Mayor Conjunto en lo relativo a su empleo en tiempos de paz incluso en instancias tales como la preparación, prevención y reacción ante emergencias, así como de su responsabilidad social.",0%,1,,,,,,,,,,,,,,0,,,,0,,,,,1,,
18,2016,agosto,Defensa,"De esta forma se enviará una indicación sustitutiva al Congreso Nacional respecto del proyecto de ley que deroga la ley reservada del cobre en la que se establezca que la asignación de los recursos para el financiamiento de la Defensa Nacional se realizará mediante la formulación de una planificación presupuestaria cuatrienal, que contemple el financiamiento de los programas y proyectos de inversión y los gastos de operación y mantenimiento de equipamiento.",0%,1,,,,,,,,,,,,,,0,,,,0,,,,,1,,
19,2016,septiembre,Defensa,"Reformaremos la competencia de la Justicia Militar, de manera tal que las causas con civiles víctimas de delitos cometidos por militares y carabineros sean conocidas por tribunales ordinarios. Se avanzará desde el actual modelo de fuero militar hacia uno nuevo caracterizado por la igualdad de las garantías procesales entre ciudadanos civiles y uniformados, con una judicatura letrada y plenamente independiente de la estructura de mando militar.",0%,1,,,,,,,,,,,,,,0,,,,0,,,,,1,,
20,2016,octubre,Defensa,"Concluiremos la modernización de la carrera militar, terminando con las distorsiones previsionales.",0%,1,,,,,,,,,,,,,,0,,,,0,,,,,1,,
21,2016,noviembre,Democracia,Impulsaremos la sustitución del actual sistema electoral binominal para la elección parlamentaria por uno de representación proporcional.,100%,4,,9326-07,Sustituye el sistema electoral binominal por uno de carácter proporcional inclusivo y fortalece la representatividad del Congreso Nacional,http://congresoabierto.cl/proyectos/9326-07,,,,,,,,1,,1,4,11,4,19,,,,1,4,Se reemplaza el sistema electoral binominal por uno proporcional moderado.,
22,2016,diciembre,Democracia,"De esta manera, basada en una fuerte convicción democrática, se recoge la demanda nacional por una Nueva Constitución Política para Chile a impulsar en un proceso democrático, institucional y participativo que permita alcanzar este propósito.",0%,1,,,,,,,,,,,,,,0,,,,0,,,,,1,,
23,2016,enero,Democracia,Impulsaremos la creación de la Defensoría del Pueblo u Ombudsman.,0%,1,,,,,,,,,,,,,,0,,,,0,,,,,1,,
24,2016,febrero,Democracia,"En el plano político, nuestra convicción es que cada región debe elegir a las autoridades que representan mejor los anhelos, sueños y proyectos de la comunidad. Si hoy se eligen alcaldes, parlamentarios y Consejeros Regionales, ese mecanismo debe extenderse a la máxima autoridad regional, hoy su intendente o intendenta.",40%,4,,9834-06,Dispone la elección popular del órgano ejecutivo del gobierno regional.,http://congresoabierto.cl/proyectos/9834-06,1,,,,,,,,,"0,4",6,,,6,,,,1,4,Pretende modificar la constitución estableciendo que el cargo de Intendente se elige por votación popular y dura 4 años con posibilidad de reelección inmediata,
25,2016,marzo,Democracia,"Crearemos una División de Participación Ciudadana en la SEGEGOB, de tal manera de dar adecuado seguimiento y control del cumplimiento de metas ministeriales en materias de participación.",0%,1,,,,,,,,,,,,,,0,,,,0,,,,,1,,
26,2016,abril,Democracia,"Nos comprometemos a impulsar la tramitación, hasta su aprobación, de un proyecto de ley que otorgue el derecho a voto de chilenos en el extranjero. / Regula el ejercicio del derecho a voto de los chilenos en el extranjero",100%,4,#REF!,9069-07,Regula el ejercicio del sufragio de los ciudadanos que se encuentran fuera del país.,http://congresoabierto.cl/proyectos/9069-07,,,,,,,,1,,1,,2,,2,,,,1,4,Ver Reforma Constitucional: http://www.leychile.cl/Navegar?idLey=20748&tipoVersion=0,
,2016,mayo,Democracia,,40%,4,#REF!,10344-06,Regula el ejercicio del sufragio de los ciudadanos que se encuentran fuera del país.,http://www.senado.cl/appsenado/templates/tramitacion/index.php,1,,,,,,,,,"0,4",1,,,1,,,,1,4,"Proyecto de ley aborda la inscripción y cambio de domicilio de los chilenos que sufraguen en el exterior, y la modalidad de votación en el extranjero. ",
27,2016,junio,Justicia y DDHH,"Reconoceremos con el máximo valor en la Constitución, los tratados y convenciones internacionales sobre derechos humanos y, en especial, incorporaremos una norma que establezca que, en toda interpretación constitucional o legal, deben primar dichos tratados o convenciones.",40%,3,,9748-07,"Modifica la Constitución Política de la República para establecer que los crímenes y delitos de guerra, lesa humanidad y genocidio no puedan prescribir ni ser amnistiados.",http://congresoabierto.cl/proyectos/9748-07,1,,,,,,,,,"0,4",6,12,,18,,,1,,3,"El proyecto incorpora un nuevo inciso final al numeral 3° del artículo 19 de la Constitución, que establece que los crímenes y delitos que conforme al derecho nacional o internacional sean calificables de genocidio, lesa humanidad o guerra, no serán susceptibles de amnistía o prescripción –total o parcial- , con independencia de la fecha en que ellas se hubieren cometido, adaptando con ello la legislación chilena a las exigencias del Derecho Internacional sobre la materia. Sin embargo no señala nada sobre la interpretación de las normas de acuerdo a los tratados internacionales",
28,2016,julio,Justicia y DDHH,"Impulsaremos medidas legislativas y administrativas que impidan la impunidad en materia de DDHH, tales como impedir toda aplicación en los juicios sobre Crímenes de Lesa Humanidad del D.L. N°2.191, de Amnistía de 1978, y de las normas que regulan la prescripción en materia de delitos comunes o de la prescripción en materia de responsabilidades civiles.",40%,4,#REF!,9773-07,"Adecua la ley penal en materia de amnistía, indulto y prescripción de la acción penal y la pena a lo que dispone el derecho internacional respecto de los delitos de genocidio, de lesa humanidad o de guerra.",http://congresoabierto.cl/proyectos/9773-07,1,,,,,,,,,"0,4",10,7,,17,,,,1,4,"Establece que los crímenes y delitos de guerra, lesa humanidad y genocidio, cualquiera sea la fecha en que se hayan cometido, son imprescritpibles e inamnistiables, como también que no se podrá conceder indulto o cualquier otro beneficio alternativo que implique la reducción o sustitución de las condenas privativas de libertad a los autores de estos crímenes y delitos. ",
,2016,agosto,Justicia y DDHH,,70%,4,#REF!,6422 -07,Establece ley interpretativa que adecua la legislación penal chilena a los tratados internacionales en materia de derechos humanos,http://congresoabierto.cl/proyectos/6422-07,,,,1,,,,,,"0,7",1,11,,12,,,,1,4,"Establece que no se podrán aplicar las normas sobre amnistía o prescripción cuando según las reglas del derecho internacional se refiera a hechos que configuren delitos de genocidio o crímenes de lesa humanidad o de guerra, así como la inaplicabilidad de la denominada prescripción gradual de la pena o media prescripción.",
,2016,septiembre,Justicia y DDHH,,70%,4,#REF!,1265-10,"Aprueba la Convención sobre Imprescriptibilidad de los Crímenes de Guerra y de los Crímenes de Lesa Humanidad, adoptada por la Asamblea General de las Naciones Unidas, mediante la resolución Nº 2391 (XXIII), del 26 de Noviembre de 1968",http://congresoabierto.cl/proyectos/1265-10,,,,1,,,,,,"0,7",,1,,1,,,,1,4,"Califica a los crímenes de guerra y de lesa humanidad entre los delitos de derecho internacional más graves y expresa el principio de la imprescriptibilidad de estos crímenes y, asimismo, asegura su aplicación universal.",
,2016,octubre,Justicia y DDHH,,40%,4,#REF!,4162-07,"Proyecto de ley que declara la nulidad del Decreto Ley N° 2.191, de 1978.",http://congresoabierto.cl/proyectos/4162-07,1,,,,,,,,,"0,4",9,1,,10,,,,1,4,"Declara nulo el DL de amnistía y establece que son imprescritibles e inamnistiables los delitos calificados como crímenes de guerra o crímenes de lesa humanidad, de conformidad a los Tratados Internacionales ratificados por Chile y que se encuentran vigentes, así como por los Principios Generales del Derecho Internacional.",
29,2016,noviembre,Justicia y DDHH,"Crearemos la Subsecretaría de Derechos Humanos en el Ministerio de Justicia y Derechos Humanos, con dotación de recursos humanos y presupuestarios que permitan el trabajo de coordinación y ejecución en materia de derechos humanos.",100%,4,,8207-07,Crea la Subsecretaría de Derechos Humanos y establece adecuaciones en la Ley Orgánica del Ministerio de Justicia,http://congresoabierto.cl/proyectos/8207-07,,,,,,,,1,,1,,7,1,8,,,,1,4,Ver ley 20.885 en: http://www.leychile.cl/Navegar?idLey=20885&tipoVersion=0 crea subsecretaría de derechos humanos,
30,2016,diciembre,Justicia y DDHH,"Adoptaremos medidas, legislativas si fueren necesarias, para reconocer el derecho de las víctimas de las graves violaciones a los derechos humanos y sus familiares, a obtener reparaciones civiles de los victimarios y, en su caso, del Estado. Revisaremos las actuales leyes reparatorias.",40%,4,#REF!,9593-17,"Consagra el deber de los órganos del Estado de individualizar, como víctimas de desaparición forzada, a las personas detenidas desaparecidas que figuran en los informes que indica",http://congresoabierto.cl/proyectos/9593-17,1,,,,,,,,,"0,4",,,,0,,,,1,4,Establece que todos los órganos del Estado deberán velar por que los registros que estén a su cargo reconozcan y expresen como víctimas de desaparición forzada a las personas detenidas desaparecidas cuyos nombres aparecen incluidos en los informes de las comisiones creadas en la búsqueda de verdad y justicia y que dichos registros deberán actualizarse dentro de un año.,
,2016,enero,Justicia y DDHH,,90%,4,#REF!,10196-17,"Otorga un aporte único, de carácter reparatorio, a las víctimas de prisión política y tortura, reconocidas por el Estado de Chile.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=10619&prmBoletin=10196-17,,,,,,,1,,,"0,9",,,,,,,,1,4,"Proyecto de ley que tiene por objeto establecer un aporte único, de carácter reparatorio a todas y todos  los  calificados como víctimas de prisión política y tortura reconocidos por la Comisión Nacional sobre Prisión Política y Tortura, y la Comisión Asesora para la calificación de Detenidos Desaparecidos, Ejecutados Políticos y víctimas de Prisión Política y Tortura, incluyendo a las cónyuges sobrevivientes",
31,2016,febrero,Justicia y DDHH,"Asignaremos a una entidad estatal permanente que se haga cargo del reconocimiento, acogida, asistencia jurídica, social y de reparación para las víctimas de Crímenes de la Dictadura.",0%,1,,,,,,,,,,,,,,0,,,,0,,,,,1,,
32,2016,marzo,Justicia y DDHH,"Adicionalmente, desarrollaremos una iniciativa legal para regular el derecho a reunión y revisaremos los reglamentos, protocolos y práctica de las Fuerzas Policiales para su adecuación a estándares internacionales.",0%,1,,,,,,,,,,,,,,0,,,,0,,,,,1,,
33,2016,abril,Estado,Nuestro compromiso es dotar al gobierno regional de autonomía política y administrativa especialmente en las materias relacionadas con el desarrollo y competitividad del territorio.,70%,4,,7963-06,Relativo al fortalecimiento de la regionalización del país.,http://congresoabierto.cl/proyectos/7963-06,,,,1,,,,,,"0,7",,1,2,3,,,,1,4,"La indicación sustitutiva del Gobierno establece un procedimiento para transferir competencias del Gobierno central a los regionales  en ordenamiento territorial, fomento de las actividades productivas y desarrollo social y cultural.",
34,2016,mayo,Estado,"Para apoyar este proceso, la Subsecretaría de Desarrollo Regional (SUBDERE) contará con mandato especial. Estableceremos en la SUBDERE una unidad especializada de descentralización, la que impulsará, coordinará y evaluará el proceso de descentralización y transferencia de facultades y competencias a regiones, así como el traspaso de Servicios Públicos, proceso que será paulatino y por grupos de regiones.",0%,1,,,,,,,,,,,,,,0,,,,0,,,,,1,,
35,2016,junio,Estado,"Se deberán realizar los cambios normativos necesarios para establecer las condiciones que permitan que los Gobiernos Regionales tengan relaciones más estrechas de cooperación con las Municipalidades de la Región para el cumplimiento de objetivos comunes o complementarios, incluyendo presupuestos de inversión.",0%,1,,,,,,,,,,,,,,0,,,,0,,,,,1,,
36,2016,julio,Estado,"Adicionalmente, realizaremos las modificaciones tendientes a mejorar los mecanismos de participación, transparencia y control ciudadano regional.",0%,1,,,,,,,,,,,,,,0,,,,0,,,,,1,,
37,2016,agosto,Estado,"Por otra parte, resulta fundamental que cada región cuente con un sistema de estadísticas que permita registrar el comportamiento en todos los ámbitos de intervención de los gobiernos regionales y posibilite el establecimiento de líneas base, información para el diseño, seguimiento y evaluación de políticas y programas, y para establecer los indicadores que permitan objetividad en las rendiciones de cuentas.",0%,1,,,,,,,,,,,,,,0,,,,0,,,,,1,,
38,2016,septiembre,Estado,"En la misma línea, extenderemos el Sistema de Alta Dirección Pública a cargos regionales, con el consecuente atractivo de remuneraciones.",0%,1,,,,,,,,,,,,,,0,,,,0,,,,,1,,
39,2016,octubre,Desarrollo Social,"Establecer la institucionalidad pública será una prioridad. Crearemos la Subsecretaría de la Discapacidad, que impulsará de manera transversal el tema, teniendo como eje la integración y necesidades de las personas con discapacidad y sus familias.",0%,1,,,,,,,,,,,,,,0,,,,0,,,,,1,,
40,2016,noviembre,Desarrollo Social,"Incorporaremos al arancel de FONASA y a la cobertura de seguros privados, las prestaciones de Terapeutas Ocupacionales.",0%,1,,,,,,,,,,,,,,0,,,,0,,,,,1,,
41,2016,diciembre,Desarrollo Social,"Además, estudiaremos la regulación de la condición de preexistencia en los seguros de salud cuando las personas con discapacidad dejan de ser carga o son contratadas y deben cotizar directamente, a fin de evitar la pérdida de beneficios de su programa de salud previo.",0%,1,,,,,,,,,,,,,,0,,,,0,,,,,1,,
42,2016,enero,Economía y Comercio,"El Consejo Nacional de Innovación para la Competitividad (CNIC) (...) contarán con un nuevo estatus legal, que les permita estabilidad, junto con ampliar su ámbito de preocupación desde la competitividad al desarrollo nacional, manteniendo el énfasis en los temas de la investigación científica, el desarrollo tecnológico, la innovación y el emprendimiento, tanto en su dimensión productiva como social.",0%,1,,,,,,,,,,,,,,0,,,,0,,,,,1,,
43,2016,febrero,Economía y Comercio,"El Fondo de Innovación para la Competitividad (FIC) (...) contarán con un nuevo estatus legal, que les permita estabilidad, junto con ampliar su ámbito de preocupación desde la competitividad al desarrollo nacional, manteniendo el énfasis en los temas de la investigación científica, el desarrollo tecnológico, la innovación y el emprendimiento, tanto en su dimensión productiva como social.",0%,1,,,,,,,,,,,,,,0,,,,0,,,,,1,,
44,2016,marzo,Economía y Comercio,"En el ámbito institucional, fortaleceremos al Ministro de Economía en su rol de autoridad responsable en el campo de la innovación y el desarrollo productivo, creando la Subsecretaría de Ciencia, Tecnología e Innovación.",0%,1,,,,,,,,,,,,,,0,,,,0,,,,,1,,
45,2016,abril,Economía y Comercio,En los primeros 100 días de Gobierno se enviará al Congreso el Proyecto de Ley de Reforma Tributaria.,100%,4,,9290-05,Reforma tributaria que modifica el sistema de tributación de la renta e introduce diversos ajustes en el sistema tributario. ,http://congresoabierto.cl/proyectos/9290-05,,,,,,,,1,,1,6,1,,7,,,,1,4,"Se ingresa una reforma tributaria con 4 grandes objetivos: aumentar la carga tributaria para financiar, con ingresos permanentes, los gastos permanentes de la reforma educacional; avanzar en equidad tributaria, mejorando la distribución del ingreso; introducir nuevos y más eficientes mecanismos de incentivos al ahorro e inversión, y avanzar en medidas que disminuyan la evasión y la elusión.",
46,2016,mayo,Economía y Comercio,"En los primeros 100 días de Gobierno, enviaremos al Congreso el proyecto de ley del fortalecimiento del SERNAC, que permitirá que tenga atribuciones reales y efectivas para defender los derechos de los consumidores.",70%,4,,9369-03,"Modifica ley N° 19.496, sobre Protección de los Derechos de los Consumidores. ",http://congresoabierto.cl/proyectos/9369-03,,,,1,,,,,,"0,7",6,18,3,27,,,,1,4,El proyecto fortalece al Sernac y le otorga mayores facultades de fiscalización y de sanción en materia de derechos de los consumidores,
47,2016,junio,Economía y Comercio,"Revisaremos la regulación de los juicios colectivos, para asegurar un procedimiento eficiente que procure soluciones adecuadas,",70%,3,,9369-03,"Modifica ley N° 19.496, sobre Protección de los Derechos de los Consumidores. ",http://congresoabierto.cl/proyectos/9369-03,,,,1,,,,,,"0,7",6,18,3,27,,,1,,3,"El proyecto se preserva y perfecciona la facultad del SERNAC de llevar a cabo mediaciones colectivas con anterioridad al ejercicio de las acciones judiciales, regulando su procedencia, su plazo de duración, su publicidad a fin de que los consumidores afectados o las Asociaciones de Consumidores puedan efectuar observaciones y sugerir ajustes en las soluciones propuestas, y sus efectos en el caso en que se arribe a un acuerdo que solucione el conflicto. Sin embargo no hay modificaciones a los procesos de juicios colectivos.",
48,2016,julio,Economía y Comercio,"Para una mejor coordinación institucional, estableceremos en la Ley de Protección de los Derechos de los Consumidores un Sistema Integrado cuya coordinación técnica corresponderá al SERNAC, y que considerará la creación de un Consejo en el que participarán representantes de agencias públicas reguladoras y fiscalizadoras. ",0%,1,,,,,,,,,,,,,,0,,,,0,,,,,1,,
49,2016,agosto,Economía y Comercio,"Cambiaremos el régimen de los ministros del Tribunal de la Libre Competencia (TDLC), hacia uno de dedicación preferente o exclusiva, estableciendo remuneraciones acordes y fijando una compensación para cuando los ministros cesen en el cargo.",0%,1,,,,,,,,,,,,,,0,,,,0,,,,,1,,
50,2016,septiembre,Economía y Comercio,"Sanciones en temas contenciosos. Cambiaremos el tope máximo de las sanciones por porcentaje de ventas obtenidas; introduciremos una sanción adicional para personas involucradas de inhabilitación para directorios, organismos públicos, asociaciones gremiales y colegios profesionales y una sanción adicional para empresas involucradas, excluyéndolas de participar en licitaciones del Estado.",70%,3,,9950-03,"Modifica el decreto con fuerza de ley N° 1, de 2004, del Ministerio de Economía, Fomento y Reconstrucción, que Fija el texto refundido, coordinado y sistematizado del decreto ley N° 211, de 1973, que Fija normas para la defensa de la libre competencia.",http://congresoabierto.cl/proyectos/9950-03,,,,1,,,,,,"0,7",2,14,6,22,,,1,,3,"El proyecto cambia el tope máximo de las sanciones por el doble del beneficio ecónomico reportado por la infracción, o hasta por el 30% de las ventas del infractor correspondientes a la línea de productos y, o servicios asociada a la infracción durante el período por el cual ésta se haya extendido; se introduce las limitaciones para los involucrados sobre la prohibición de contratacion en los organismos centralizados y descentralidos, organismos, empresas o servicios que el estado efectúe aportes, congreso y poder judicial durante 5 años. No existe sanción adicional para las empresas involucradas para evitar su participación en las licitaciones del Estado.",
51,2016,octubre,Economía y Comercio,"Reforzamiento de normas contra colusión. Evaluaremos la inclusión de un tipo penal explícito para carteles más gravosos para los mercados, que sancione los acuerdos entre competidores que les confieran poder de mercado.",70%,4,,9950-03,"Modifica el decreto con fuerza de ley N° 1, de 2004, del Ministerio de Economía, Fomento y Reconstrucción, que Fija el texto refundido, coordinado y sistematizado del decreto ley N° 211, de 1973, que Fija normas para la defensa de la libre competencia.",http://congresoabierto.cl/proyectos/9950-03,,,,1,,,,,,"0,7",2,14,6,22,,,,1,4,"Efectivamente se refuerzan las normas contra la colusión, además de asignar una pena para los carletes más gravosos, incluyendo pena de reclusión  mayor en su grado minimo para quienes se agrupen para lograr un mayor poder de mercado.",
52,2016,noviembre,Economía y Comercio,"Introduciremos en la legislación normas sobre control de operaciones de concentración, explicitando la figura de disminución sustancial de la libre competencia. ",0%,1,,,,,,,,,,,,,,0,,,,0,,,,,1,,
53,2016,diciembre,Economía y Comercio,Fortaleceremos las capacidades técnicas y profesionales de la FNE; estableceremos plazos acotados para sus investigaciones; la facultad para que emita fundadamente advertencias y para requerir información estadística a otros organismos del Estado.,0%,1,,,,,,,,,,,,,,0,,,,0,,,,,1,,
54,2016,enero,Economía y Comercio,"Para hacerse cargo de este diagnóstico, entregaremos facultades a la Superintendencia de Bancos e Instituciones Financieras (SBIF) para supervisar por solvencia cualquier agente financiero y crediticio relevante. Esto debe incluir a cajas de compensación, cooperativas y empresas de comercio, entre otras. La SBIF estará facultada para decidir las entidades específicas que serían supervisadas bajo su alero, en base a criterios de ser entidad financiera, tener un tamaño mínimo y un cierto apalancamiento relevante.",100%,2,,8132-26,"Modifica el Decreto con Fuerza de Ley N° 5, de 2003, del Ministerio de Economía, Fomento y Reconstrucción, que fija el texto refundido, coordinado y sistematizado de la Ley General de Cooperativas",http://congresoabierto.cl/proyectos/8132-26,,,,,,,,1,,1,,,,0,,1,,,2,Se le otorgan facultades de fiscalización a la SBIF sobre ciertas cooperativas,
55,2016,febrero,Economía y Comercio,"Complementariamente incorporaremos un capítulo de conglomerados financieros en los cuerpos legales pertinentes, donde se defina al conglomerado financiero como objeto de supervisión, se determinen sus requerimientos de capital, liquidez y gobierno, se defina al supervisor, y se separe la parte financiera del conglomerado del resto del grupo económico.",0%,1,,,,,,,,,,,,,,0,,,,0,,,,,1,,
56,2016,marzo,Educación,"En relación a la población de pre-kínder y kínder, la cobertura actual es casi completa, por lo que la propuesta es avanzar hacia la obligatoriedad de pre-kinder.",0%,1,,,,,,,,,,,,,,0,,,,0,,,,,1,,
57,2016,abril,Educación,"Modernizaremos la institucionalidad de la educación parvularia, separando el rol de diseño de política, creando una Subsecretaría de Educación Parvularia en el Ministerio de Educación (MINEDUC), del rol fiscalizador, ejercido por una Intendencia de Educación Parvularia en la Superintendencia de Educación, y del rol de provisión del servicio, a cargo de JUNJI, Integra y otros prestadores debidamente acreditados.",100%,3,,9365-04,"Crea la Subsecretaría de Educación Parvularia, la Intendencia de Educación Parvularia y, modifica diversos cuerpos legales.",http://congresoabierto.cl/proyectos/9365-04,,,,,,,,1,,1,8,4,3,15,,,1,,3,"Ver Ley 20.835 http://www.leychile.cl/Navegar?idLey=20835&tipoVersion=0, ley que crea: CREA LA SUBSECRETARÍA DE EDUCACIÓN PARVULARIA, LA INTENDENCIA DE EDUCACIÓN PARVULARIA Y MODIFICA DIVERSOS CUERPOS LEGALES",
