id;area;titulo;promesa;avance_total;coherencia;;;boletin;promesa con pl;titulo_proyecto;link;1° tramite;2°-3° tramite;aprobacion presidencial;promulgado;nombre avance;avance;simple;suma;inmediata;total_urgencias;marginal;parcial minima;parcial alto;total;escala de coherencia
20;Seguridad;Reforma del SENAME;Reformularemos íntegramente el SENAME, creando el Servicio Nacional de la Infancia dependiente del nuevo Ministerio de Desarrollo Social, separando las funciones que actualmente realiza. La adopción y protección de menores corresponderán al nuevo Servicio Nacional de la Infancia.;40%;4;;;8487-07;1;Suprime el actual Servicio Nacional del Menores, creando dos nuevos Servicios de atención a la infancia y adolescencia.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=8883&prmBoletin=8487-07;1;;;;Primer Tramite;0,4;4;5;;9;;;;1;4
21;Seguridad;Reforma Gendarmería;Se concentrará la labor de Gendarmería exclusivamente en el resguardo de la seguridad en recintos carcelarios, liberando a la institución (SENAME) de las funciones de rehabilitación y reinserción que en la actualidad no desempeña satisfactoriamente. ƒstas quedarían a cargo de la Subsecretaría de Prevención y Rehabilitación del Ministerio del Interior;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
22;Seguridad;Inversión en Carabineros de Chile;Se aumentará gradualmente en 10.000 efectivos la dotación de Carabineros en la calle durante los cuatro años del próximo gobierno. Para ello se incrementará la formación de Carabineros y Oficiales, se asignará personal civil a las labores de administración en Carabineros y se recontratarán Carabineros en retiro;100%;3;;;6962-02;1;Aumenta las plantas de Personal de Carabineros de Chile.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=7358&prmBoletin=6962-02;;;;1;Promulgado;1;;;;0;;;1;;3
23;Seguridad;Implementación del Brazalete de Seguridad;Se implementará un sistema de monitoreo electrónico a distancia (brazalete de seguridad) en casos de delitos de violencia intrafamiliar y otros de naturaleza grave. La administración de este sistema quedará en manos de una entidad especializada;100%;4;;;5838-07;1;Modifica la ley N° 18.216, que establece medidas alternativas a las penas privativas o restrictivas de libertad.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=6214&prmBoletin=5838-07;;;;1;Promulgado;1;19;20;6;45;;;;1;4
24;Justicia y DDHH;Banco de Datos delictual;Se creará un Banco de Datos Delictual, que entregue más y mejor información acerca de las principales estadísticas delictuales, evaluaciones y presupuestos. Se establecerá un sistema de información que mantenga en red a todas las instituciones involucradas en el ámbito de la seguridad, que contará con información relativa al historial de los delincuentes, incluyendo su ADN y otros antecedentes;100%;3;;;7408-07;1;Crea el Registro Nacional de Prófugos de la Justicia.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=7796&prmBoletin=7408-07;;;;1;Promulgado;1;;20;;20;;;1;;3
25;Democracia;Inscripción automatica y Voto voluntario;Perfeccionaremos la institucionalidad electoral estableciendo un sistema de inscripción automática y voto voluntario;100%;4;100%;4;7962-06;1;Facilita el proceso de insripción electoral automática.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=8357&prmBoletin=7962-06;;;;1;Promulgado;1;;;4;4;;;;1;4
25;Democracia;Inscripción automatica y Voto voluntario;;;;100%;4;7338-07;;Sobre inscripción automática, Servicio Electoral y sistema de votaciones.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=7731&prmBoletin=7338-07;;;;1;Promulgado;1;4;15;5;24;;;;1;4
26;Democracia;Sistema de Primarias legales;Establecimiento de un sistema de primarias voluntarias y vinculantes, bajo el control del Servicio Electoral, para elegir a los candidatos a Presidente de la República, Senador, Diputado y Alcalde;100%;4;;;7911-06;1;Establece el Sistema de Elecciones Primarias para la nominación de candidatos a Presidente de la República, Parlamentarios y Alcaldes.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=8304&prmBoletin=7911-06;;;;1;Promulgado;1;;20;1;21;;;;1;4
27;Democracia;Voto en el Extrajero;Proponemos extender el derecho a voto a los chilenos que residen en el extranjero y que mantengan vínculos y pertenencia con el país;40%;4;;;7335-07;1;Sobre voto de chilenos en el extranjero.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=7730&prmBoletin=7335-07;1;;;;Primer Tramite;0,4;4;1;;5;;;;1;4
28;Democracia;Perfeccionar la exclusividad parlamentaria;Perfeccionaremos  las  normas  sobre  incompatibilidades, inhabilidades y prohibiciones de parlamentarios y otras autoridades;70%;2;;;7616-06;1;Probidad en la Función Pública.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=8012&prmBoletin=7616-06;;1;;;Segundo Tramite;0,7;14;11;;25;;1;;;2
29;Democracia;Transparentar a los partidos políticos;"Aumentar las exigencias de transparencia y participación en temas como sus procesos (de los partidos políticos), manejo de recursos y toma de decisiones; y permitiendo  que  el  Estado,  a  través  del  Servicio  Electoral,  facilite  los procesos electorales de decisión interna de los partidos a través de primarias voluntarias";0%;1;;;;;;;;;;;;0;;;;0;;;;;1
30;Deporte;Modificación ley de Deportes;Promoveremos la generación de mayores  recursos privados destinados a donaciones deportivas modificando la Ley del Deporte, aumentando y flexibilizando los límites a donaciones que establece la ley;70%;4;;;8316-29;1;Modifica Ley del Deporte.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=8713&prmBoletin=8316-29;;1;;;Segundo Tramite;0,7;8;1;;9;;;;1;4
31;Deporte;Reforma al Reglamento de organizaciones deportiva;Mejoraremos y profesionalizaremos los gobiernos corporativos de las federaciones deportivas, enmendando el Reglamento de Organizaciones Deportivas, y promoviendo la existencia de gerencias remuneradas;40%;3;;;6965-07;1;Relativo a las federaciones deportivas nacionales.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=7366&prmBoletin=6965-07;1;;;;Primer Tramite;0,4;;9;;9;;;1;;3
32;Deporte;Fomento a la actividad física;Fomentaremos los hábitos deportivos, incrementando las horas efectivas de práctica en relación al ciclo de vida, con especial énfasis en la etapa preescolar (30’ mínimos) y escolar (de 1 a 4 horas semanales, en un lapso de 4 años);0%;1;;;;;;;;;;;;0;;2;;2;;;;;1
33;Desarrollo Social;Fomento a la contratación laboral de discapacitados;Realizaremos ajustes legales concretos para fomentar la contratación en el sector público de personas con discapacidad;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
34;Educación;Ampliación de la subvención escolar;Duplicaremos gradualmente la subvención escolar por niño atendido;100%;3;;;8070-04;1;Aumenta las subvenciones del Estado en los establecimientos educacionales.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=8481&prmBoletin=8070-04;;;;1;Promulgado;1;;13;2;15;;;1;;3
35;Educación;Nueva Carrera Docente;Crearemos una nueva carrera docente que apoye a los profesores en su tarea de mejorar los aprendizajes y la formación de sus alumnos. El actual Estatuto Docente no lo permite, debido a que contiene excesivas rigideces;40%;4;;;8189-04;1;Establece el sistema de promoción y desarrollo profesional docente del sector municipal.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=8584&prmBoletin=8189-04;1;;;;Primer Tramite;0,4;9;;;9;;;;1;4
36;Educación;Nueva regulación en subvenciones escolares;Crear una institucionalidad para que expertos definan periódicamente los niveles y valores que deben alcanzar los diferentes tipos de subvenciones y se promoverá una subvención a la calidad que premie a los establecimientos y equipos docentes que se destaquen a nivel país.;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
37;Educación;Examen de excelencia y calidad docente;Elevaremos las exigencias a los establecimientos, a sus directivos, docentes y alumnos, lo que será coordinado por la nueva Agencia de Calidad de la Educación. Se establecerá un examen no obligatorio de habilitación. Aquellos egresados que no hayan rendido examen de habilitación o que no tengan una buena calificación, y que ingresen a la profesión docente, quedarán facultados para ejercer la carrera sólo en forma condicional y deberán demostrar efectividad en la sala de clase.;100%;3;;;5083-04;1;Proyecto de ley sobre el sistema nacional de aseguramiento de la calidad de la educación parvularia, básica y media y su fiscalización.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=5454&prmBoletin=5083-04;;;;1;Promulgado;1;;;;0;;;1;;3
38;Educación;Fortalecimiento de la subvención escolar preferencial (SEP);La continuación y profundización de la subvención preferencial para los estudiantes de familias más desvalidas;100%;4;;;8070-04;1;Aumenta las subvenciones del Estado en los establecimientos educacionales.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=8481&prmBoletin=8070-04;;;;1;Promulgado;1;;;;0;;;;1;4
39;Educación;Reforma en la asignación de becas;Para lograr igualdad de oportunidades en el acceso a la educación superior se perfeccionará el sistema de financiamiento estudiantil ampliando su acceso, eliminando las discriminaciones injustificadas  y  focalizando  las  becas  en  los  sectores  de  menores ingresos y para aquellas carreras de mayor retorno social, incluyendo especialmente las pedagogías;40%;2,5;40%;4;7961-04;1;Sobre calidad y financiamiento de la educación.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=8358&prmBoletin=7961-04;1;;;;Primer Tramite;0,4;;;;0;;;;1;4
39;Educación;Reforma en la asignación de becas;;;;40%;1;8369-04;;Crea un sistema de financiamiento para la educación superior.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=8766&prmBoletin=8369-04;1;;;;Primer Tramite;0,4;8;;;8;;;;;1
40;Educación;Reforma a la selección de directivos escolares;Se crearán comités de búsqueda para seleccionar a quienes, con habilidades de liderazgo, muestren las mejores condiciones para ser directores de establecimientos educacionales. Se pondrá término a los cargos vitalicios de directores, evolucionándose hacia un sistema de selección por méritos. Los concursos para seleccionar directores se perfeccionarán, elevando los requisitos para los participantes y profesionalizando la integración del comité de búsqueda;100%;4;;;7329-04;1;Sobre calidad y equidad de la educación.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=7719&prmBoletin=7329-04;;;;1;Promulgado;1;;;;0;;;;1;4
41;Educación;Incetivos a la remuneración docente;Se diseñarán mecanismos para mejorar las remuneraciones vinculadas a los aprendizajes de los estudiantes, y para relacionar el nivel de remuneraciones con la necesidad de atraer a la profesión docente a personas de altas habilidades. La actual normativa se modificará gradualmente. Aquellos profesores que no tengan la calificación adecuada contarán con los mecanismos para acceder a programas de reentrenamiento.;100%;4;;;7329-04;1;Sobre calidad y equidad de la educación.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=7719&prmBoletin=7329-04;;;;1;Promulgado;1;;;;0;;;;1;4
42;Educación;Bono docente;Se premiará con bonos adicionales a los docentes que desarrollen labores en escuelas, liceos o colegios con un número alto de niños o jóvenes vulnerables;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
43;Educación;Corporación de Educación de calidad municipal;Proponemos la creación de Corporaciones de Educación de Calidad (CEC) a nivel comunal, las que tendrán como finalidad el mejoramiento de la calidad de la educación en esa comuna. El directorio de la Corporación será presidido por el Alcalde, siendo éste la autoridad máxima y por lo tanto el responsable de los respectivos resultados. El director ejecutivo de la corporación será seleccionado por méritos con criterios similares a los que utiliza el Sistema de Alta Dirección Pública;40%;4;;;8082-04;1;Crea las agencias públicas de educación local y establece otras normas de fortalecimiento de la educación estatal.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=8482&prmBoletin=8082-04;1;;;;Primer Tramite;0,4;;;;0;;;;1;4
44;Educación;Combate a la violencia escolar;Se  apoyará  las  iniciativas  destinadas  a  mejorar  el  clima  al interior  de  las  escuelas,  liceos  y  colegios  del  país;100%;4;;;7123-04;1;Sobre violencia escolar.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=7525&prmBoletin=7123-04;;;;1;Promulgado;1;;;;0;;;;1;4
45;Educación;Ampliación y profundización del becas en educación superior;Mejoraremos el sistema de becas aumentando su equidad horizontal y vertical, terminando con la discriminación en el financiamiento según la naturaleza jurídica de la institución de educación superior elegida por el alumno;40%;4;;;8369-04;1;Crea un sistema de financiamiento para la educación superior.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=8766&prmBoletin=8369-04;1;;;;Primer Tramite;0,4;8;;;8;;;;1;4
46;Educación;Corporación de IP, CFT y Universidades;Existirá una entidad que agrupará a los institutos profesionales y centros de formación técnica, y otra que agrupará a las universidades;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
47;Educación;Reforma a las universidades del Estado;En el caso de las universidades estatales se realizará una reforma que les  permita  eliminar  trabas  burocráticas  y  flexibilizar  su  gestión académica, financiera y administrativa, de forma hacerlas plenamente competitivas. Se les permitirá acceder a mayores recursos para  inversión  utilizando  mecanismos  como  las  concesiones  de obras, y se las dotará de nuevos gobiernos corporativos para aumentar su vinculación con entidades regionales, sectores productivos  y  otros,  logrando  así  un  mayor  acceso  a  financiamiento  a través de proyectos y donaciones;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
48;Energía;Certificación de calidad del transporte público;En el transporte se implementará un esquema de certificación y etiquetado con incentivos tributarios diferenciados sobre la base de la eficiencia energética y emisiones de los vehículos, además de su valor comercial;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
49;Energía;Reforma ENAP;Mejoraremos el Gobierno corporativo de ENAP y proveeremos a la compañía de mecanismos para captar los recursos que le permitan aumentar sus niveles de inversión, eficiencia y estándares de calidad en sus productos;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
50;Energía;Reforma en concesiones Geotérmicas;Se perfeccionará la regulación sobre concesiones en materia geotérmica, promocionando la inversión, pero exigiendo el respeto por el medio ambiente y la compatibilización con el desarrollo turístico;40%;4;;;7162-08;1;Introduce modificaciones a ley N° 19.657, sobre concesiones de energía geotérmica.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=7564&prmBoletin=7162-08;1;;;;Primer Tramite;0,4;22;;;22;;;;1;4
51;Seguridad;Centros judiciales de Violencia intra-familiar;Se crearán también los Centros Judiciales de Violencia Intra-familiar en los Tribunales de Familia a lo largo del país, para que en casos urgentes toda mujer, niña o niño agredido, reciba la protección y reparación que merece de manera oportuna y eficaz;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
52;Desarrollo Social;Regulación de convivencia civil;Protegeremos sus derechos (de quienes viven en pareja sin estar casados) de acceso a la salud, a la previsión, a la herencia y a otros beneficios sociales, removiendo los obstáculos que hoy les impiden ese acceso y las discriminaciones existentes, de forma de construir una sociedad inclusiva y acogedora y no excluyente y castigadora;40%;4;;;7873-07;1;Proyecto de ley que crea el Acuerdo de Vida en Pareja.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=8268&prmBoletin=7873-07;1;;;;Primer Tramite;0,4;;;;0;;;;1;4
53;Estado;Reforma al sistema administrativo del Estado;Terminaremos con la duplicidad de funciones entre los distintos niveles de Gobierno, responsabilizando a los municipios por la producción de bienes y servicios locales. Se distinguirá entre municipios rurales, urbanos que administren sólo una ciudad y municipios urbanos pertenecientes a áreas metropolitanas. Según estos factores se otorgarán más o menos atribuciones en gestión de ciudad como, por ejemplo, tránsito, planificación urbana, inversión pública, entre otras;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
54;Estado;Descentralización de los recursos;Traspasaremos directamente los fondos sectoriales a los municipios, con reglas de inversión general y de acuerdo a lineamientos que fije el Gobierno Central. Se ajustará la legislación vigente en orden a que los municipios puedan efectivamente hacer uso del mandato que les entrega la Constitución en esta materia;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
55;Estado;Reforma en contrataciones de la administración local;Se creará para el sector un sistema similar al de la Alta Dirección Pública, que atienda las necesidades de selección de personal por mérito en los gobiernos locales. Con esta  iniciativa,  los  cargos  municipales  serán  provistos  mediante concursos en los estamentos técnicos, profesionales y jefaturas.;40%;4;;;8210-06;1;"Perfecciona el rol fiscalizador del concejo; fortalece la transparencia y probidad en las municipalidades; crea cargos y modifica normas sobre personal y finanzas municipales.";https://www.camara.cl/pley/pley_detalle.aspx?prmID=8606&prmBoletin=8210-06;1;;;;Primer Tramite;0,4;13;6;;19;;;;1;4
56;Estado;Impuesto territorial;El Estado pagará impuesto territorial por todos sus bienes raíces;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
57;Estado;Modificación al impuesto territorial;En relación al impuesto territorial, introduciremos reformas para que los municipios tengan un mayor rol en su determinación y recaudación;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
58;Estado;Democracia Tributaria;Se establecerán bases para una mayor democracia tributaria, que entre otras materias, considerará que un contribuyente afecto al impuesto de primera categoría o al global complementario que realice donativos para el desarrollo local pueda recibir un incentivo tributario;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
59;Estado;Reforma al Fondo común Municipal;El Fondo Común Municipal será rediseñado, pues es necesario que la distribución de los recursos se realice con un criterio objetivo de acuerdo a la vulnerabilidad de las comunas y que se generen incentivos para que los municipios fortalezcan sus fuentes de financiamiento propias.;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
60;Estado;Fiscalización;Se implementará un conjunto de reformas que incluyen solicitar a la Contraloría General de la República la realización de un seguimiento por un período determinado a las observaciones que realiza;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
61;Estado;Fiscalización al gobierno municipal;Someteremos a los alcaldes a un régimen de responsabilidad administrativa, correspondiendo a la Contraloría la realización de los sumarios respectivos, facultándola para aplicar multas u otras sanciones. De igual manera, perfeccionaremos el ejercicio de las acciones de fiscalización y de contratación de auditorías para los concejales;40%;4;;;8210-06;1;"Perfecciona el rol fiscalizador del concejo; fortalece la transparencia y probidad en las municipalidades; crea cargos y modifica normas sobre personal y finanzas municipales.";https://www.camara.cl/pley/pley_detalle.aspx?prmID=8606&prmBoletin=8210-06;1;;;;Primer Tramite;0,4;;6;;6;;;;1;4
62;Estado;Audiencias públicas;Se realizarán modificaciones legales que exijan efectuar una cantidad mínima de audiencias públicas al año;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
63;Democracia;Promoción de la Democracia directa;Se fomentará el uso más frecuente de fórmulas de democracia directa: plebiscitos y consultas no vinculantes, simplificando sus requisitos y procedimientos;90%;2;;;7308-06;1;Sobre plebiscito y consultas de carácter comunal.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=7700&prmBoletin=7308-06;;;1;;Aprobación Presidencial;0,9;6;19;2;27;;1;;;2
64;Infancia y Juventud;Refomulación del programa de adopción Sename;Se reformularán además los programas dirigidos a la protección de  niños vulnerados en sus derechos y el programa de adopción del SENAME;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
65;Obras Públicas;Coordinación de conceciones de Obras públicas;Se institucionalizará la Coordinación de Concesiones de Obras Públicas, con oficinas regionales, que será un organismo autónomo del estado relacionado con la Presidencia de la República a través del MOP;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
66;Obras Públicas;Concesiones públicas;Se extenderá la industria de las concesiones a otros sectores, como la construcción y operación de hospitales y establecimientos educacionales, además del transporte público, parques, plazas, centros de turismo, de deportes, de cultura y re- creación, entre otros;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
