uid,area,titulo,promesa,avance_total,coherencia,,,boletin,titulo_proyecto,link,1° tramite,veto,insistencia,2°-3° tramite,comision_mixta,tribunal_constitucional,aprobacion_presidencial,promulgado,rechazado/retirado,nombre_avance,avance,simple,suma,inmediata,total_urgencias,marginal,parcial_minima,parcial_alta,total,escala_de_coherencia,justificacion_avance,justificacion_nota,ja_porque,jn_porque
9,Educación,Consejo para la calidad en la Educación Superior,"Por esta razón, transformaremos la actual Comisión Nacional de Acreditación en un Consejo para la Calidad de la Educación Superior, que sea de verdad plural e independiente",40%,2,,,10783-04,Sobre educación superior,https://www.camara.cl/pley/pley_detalle.aspx?prmID=11224&prmBoletin=10783-04,1,,,,,,,,,Primer Tramite,"0,4",9,5,2,16,,1,,,2,"La versión original del proyecto de ley de reforma a la educación superior proponía crear un ""Consejo de la Calidad"" que reemplazaría a la actual Comisión Nacional de Acreditación (CNA). Con la indicación sustitutiva esto cambió y el proyecto ya no propone la creación del Consejo para la calidad y en su lugar mantiene a la CNA pero la indicación en su lugar propone cambiar la forma de integración de la CNA (Evaluación de coherencia realizada por Educación 2020). ",,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es marginalmente coherente con la promesa realizada
10,Educación,Sistema Nacional de Educación Pública,"Presentamos el proyecto de Ley que crea el Sistema Nacional de Educación Pública, que actualmente se discute en este Congreso",70%,3,,,10368-04,Sobre la creacion de Sistema Nacional de Educación Pública,https://www.camara.cl/pley/pley_detalle.aspx?prmID=10782&prmBoletin=10368-04,,,,1,,,,,,Segundo Tramite,"0,7",12,4,3,19,,,1,,3,"El gobierno ingresó a tramitación el proyecto respectivo para hacerse cargo de la desmunicipalización de la educación pública. Sin embargo, el avance del proyecto no ha estado exento de obstáculos. Fue aprobado por la Cámara de Diputados y se encuentra en el Senado a la espera de ser discutido en particular (justificación entregada por Educación 2020).",,El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es parcialmente coherente con la promesa realizada
11,Energía,Ley de Equidad Tarifaria Residencial,"Los precios de electricidad licitada bajaron, lo que junto a los efectos de la Ley de Equidad Tarifaria Residencial, quedará reflejado paulatinamente en la cuenta de la luz de los hogares",100%,4,,,10161-08,"Modifica la Ley General de Servicios Eléctricos, para introducir mecanismos de equidad en las tarifas eléctricas",https://www.camara.cl/pley/pley_detalle.aspx?prmID=10584&prmBoletin=10161-08,,,,,,,,1,,Promulgado,1,2,13,2,17,,,,1,4,"El proyecto busca, por una parte, disminuir las tarifas de los clientes regulados en aquellas comunas que posean centrales de generación de energía eléctrica y, por la otra, acotar las diferencias de tarifas eléctricas residenciales entre las distintas zonas del país.",,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
12,Estado,Transparencia en Fuerzas Armadas,"He instruido a los ministros correspondientes para que trabajen con las Fuerzas Armadas, para la incorporación de nuevos estándares de transparencia y rendición de cuentas en la gestión de los recursos de la Defensa Nacional. Porque los chilenos piden transparencia en todos los ámbitos de la vida nacional ",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
13,Estado,Ley de Responsabilidad Fiscal Regional,"Ingresaremos el proyecto de Ley de Responsabilidad Fiscal Regional con el que aumentaremos la autonomía de los gobiernos regionales en materia de administración financiera, sin poner en riesgo la estabilidad fiscal",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
14,"Democracia",Ley de Transferencia de Competencia a los Gobiernos Regionales,Se encuentra avanzada la tramitación del proyecto de ley de transferencia de competencias a los gobierno regionales,70%,3,,,7963-06,Relativo al fortalecimiento de la regionalización del país.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8381&prmBoletin=7963-06,,,,1,,,,,,Segundo Tramite,"0,7",,14,,14,,,1,,3,"El proyecto de ley propone la incorporación de nuevas funciones generales de los gobiernos regionales. Podrán diseñar, elaborar, aprobar e implementar políticas, planes y programas de desarrollo de la región, así como su proyecto de presupuesto, los cuales deberán ajustarse a las políticas nacionales de desarrollo y al presupuesto de la Nación. Sin embargo, aún se encuentra siendo tramitado en el Congreso.",,El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es parcialmente coherente con la promesa realizada
15,Infancia y Juventud,Defensor del Niño,"Asimismo, hemos ingresado a trámite legislativo los proyectos que crean el Defensor del Niño",70%,2,,,10584-07,Sobre la creación de Defensor del Niño,https://www.camara.cl/pley/pley_detalle.aspx?prmID=11005&prmBoletin=10584-07,,,,1,,,,,,Segundo Tramite,"0,7",3,2,,5,,1,,,2,"Si bien se cumple la promesa al haber ingresado a trámite legislativo el proyecto que crea el Defensor del Niño, el proyecto resulta innecesario en el contexto actual, donde no existe una estructura institucional de defensa jurídica de los niños y las niñas (abogado del niño/a). De no concretarse dicha estructura institucional, esta figura será meramente decorativa y sin incidencia, porque carece de atribuciones de defensa concreta en juicio (justificación proporcionada por Fundación Crecer con Justicia).",,El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es marginalmente coherente con la promesa realizada
16,Infancia y Juventud,Subsecretaría de la Niñez,"Asimismo, hemos ingresado a trámite legislativo los proyectos que crean (...) la Subsecretaría de la Niñez",40%,3,,,10314-06,"Crea la Subsecretaría de la Niñez, modifica la ley N°20.530,  sobre Ministerio de Desarrollo Social, y otros cuerpos legales que indica.
",https://www.camara.cl/pley/pley_detalle.aspx?prmID=10727&prmBoletin=10314-06,1,,,,,,,,,Primer Tramite,"0,4",2,22,,24,,,1,,3,"Resulta más positivo que negativo establecer una modernización de la institucionalidad de prevención y protección de los niños y las niñas. Se busca generar una posición más estratégica para la promoción de los derechos de niños y niñas, y desde ahí implementar las políticas necesarias. Por otra parte, la Convención de Derechos del Niño obliga a Chile a adecuar nuestra legislación en diversas materias (justificación proporcionada por Fundación Crecer con Justicia).",,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es parcialmente coherente con la promesa realizada
17,Infancia y Juventud,Sistema de Garantías de los Derechos de la Niñez,"Asimismo, hemos ingresado a trámite legislativo los proyectos que crean el Sistema de Garantías de los Derechos de la Niñez",70%,2,,,10315-18,Sistema de garantías de los derechos de la niñez,https://www.camara.cl/pley/pley_detalle.aspx?prmID=10729&prmBoletin=10315-18,,,,1,,,,,,Segundo Tramite,"0,7",,24,1,25,,1,,,2,"Este proyecto tiene como una de sus principales falencias ser sólo un marco normativo, no contemplando ninguna estructura institucional sobre la que pueda articularse un verdadero sistema de protección de derechos. Carece de toda regulación sobre la forma en que se abordará la protección especial, si será administrativa o judicial; carece también de un efectivo derecho a defensa jurídica de los niños y niñas en el proceso, lo que convierte a este proyecto en un conjunto de declaraciones de principios que en absoluto mejorará la actual situación de indefensión en que se encuentran los niños/as (justificación proporcionada por Fundación Crecer con Justicia).",,El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es marginalmente coherente con la promesa realizada
18,Infancia y Juventud,Sistema de la Protección de la Infancia,Propondremos al Congreso un rediseño al Sistema de Protección de la Infancia,40%,2,,,11176-07,Crea el Servicio Nacional de Protección Especializada de Niños y Niñas y modifica normas legales que indica,https://www.camara.cl/pley/pley_detalle.aspx?prmID=11691&prmBoletin=11176-07,1,,,,,,,,,Primer Tramite,"0,4",2,,,2,,1,,,2,"El proyecto de ley limita mucho la concepción de protección especial, dejando fuera a una parte importante de los niños, niñas y adolescentes que hoy son atendidos en el sistema, sin ofrecer otra alternativa. No deroga la ley de menores y no entrega garantías de calidad respecto de la oferta programática que sería ejecutada directamente por el Estado (justificación proporcionada por Corporación Opción).",,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es marginalmente coherente con la promesa realizada
19,Justicia y DDHH,Delito de Tortura,Hemos avanzado en el cumplimiento de nuestro compromiso en los proyectos de tipificación del delito de tortura,100%,4,,,9589-17,"Modifica Código Penal, en lo tocante a la tipificación del delito de tortura.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=10009&prmBoletin=9589-17,,,,,,,,1,,Promulgado,1,1,7,,8,,,,1,4,"El proyecto de ley introduce modificaciones al Código Penal para tipificar el delito de tortura, ampliando la concepción respecto a que este delito puede ser cometido por cualquier persona y no sólo por funcionarios públicos. Además, se eleva sustancialmente la pena asociada al delito de tortura, pasando de reclusión menor en sus grados medio a máximo, a la pena de presidio mayor en su grado mínimo. Se establece también la imprescriptibilidad de la responsabilidad derivada de estos delitos, no operando respecto de ellos la prescripción de la acción ni la prescripción de la pena.",,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
20,Justicia y DDHH,Sobre imprescriptibilidad e inamnistiabilidad de los delitos de lesa humanidad,"Al mismo tiempo, hemos avanzado en el cumplimiento de nuestro compromiso en el proyecto (que declara) la imprescriptibilidad e inamnistiabilidad de los delitos de lesa humanidad",40%,4,40%,4,9748-07,"Modifica la Constitución Política de la República para establecer que los crímenes y delitos de guerra, lesa humanidad y genocidio no puedan prescribir ni ser amnistiados.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=10193&prmBoletin=9748-07,1,,,,,,,,,Primer Tramite,"0,4",9,,,9,,,,1,4,"El proyecto de ley dispone, mediante la incorporación de un nuevo inciso final al numeral 3° del artículo 19 de la Constitución, que los crímenes y delitos que conforme al derecho nacional o internacional sean calificables de genocidio, lesa humanidad o guerra, no serán susceptibles de amnistía o prescripción –total o parcial–, con independencia de la fecha en que ellas se hubieren cometido, adoptando con ello las exigencias del Derecho Internacional a la legislación chilena.",,"La promesa cuenta con 2 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos",La promesa cuenta con 2 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
20,Justicia y DDHH,Sobre imprescriptibilidad e inamnistiabilidad de los delitos de lesa humanidad,,,,40%,4,9773-07,"Adecua la ley penal en materia de amnistía, indulto y prescripción de la acción penal y la pena a lo que dispone el derecho internacional respecto de los delitos de genocidio, de lesa humanidad o de guerra.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=10192&prmBoletin=9773-07,1,,,,,,,,,Primer Tramite,"0,4",9,,,9,,,,1,4,"El proyecto de ley adecúa la legislación penal chilena a los Tratados Internacionales en materia de Derechos Humanos. Además, interpreta las normas sobre extinción de responsabilidad penal, fijando el sentido de las reglas de extinción de responsabilidad y de la pena.",,"La promesa cuenta con 2 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos",La promesa cuenta con 2 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
21,Estado,Crea plataforma electrónica de notarios y conservadores,"Para facilitar el trabajo de todos, este año enviaremos un proyecto de ley que crea la plataforma electrónica de trámites en línea con notarios y conservadores, para aumentar la transparencia y reducir tiempos de espera",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
22,Justicia y DDHH,Refuerzo de control de malas prácticas y corrupción de privados,"Además, están en tramitación proyectos que refuerzan los controles y endurecen las sanciones a las malas prácticas y corrupción en los negocios. Propusimos que se castigue el delito de corrupción, tráfico de influencias y soborno entre privados",70%,4,,,10155-07,Tipifica el delito de corrupción entre particulares y modifica disposiciones del Código Penal relativas a delitos funcionarios.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=10565&prmBoletin=10155-07,,,,1,,,,,,Segundo Tramite,"0,7",8,4,,12,,,,1,4,"El objetivo principal del proyecto de ley es contribuir a promover y restablecer la confianza en las instituciones públicas y privadas. Para ello, establece un aumento de las penas del delito sobre negociación incompatible e incorporación de una nueva hipótesis, una agravante en el delito de tráfico de influencias, el aumento de las penas del delito de cohecho y el soborno, y se incorpora el delito de corrupción entre particulares.",,El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
23,Equidad de Género,Modificación de la actual Ley de Violencia Intrafamiliar,"Modificaremos la actual legislación de violencia intrafamiliar, para actualizar su contenido, aumentar las penas, y ampliar la concepción de violencia contra las mujeres que ocurre en otros espacios, más allá de la relación de pareja o la familia. Patrocinaremos las mociones que contribuyan a la necesaria agilidad que deben tener las tramitaciones judiciales",40%,4,,,11077-07,"Sobre el derecho de las mujeres a una vida libre de violencia
",https://www.camara.cl/pley/pley_detalle.aspx?prmID=11592&prmBoletin=11077-07,1,,,,,,,,,Primer Tramite,"0,4",,,,0,,,,1,4,"Establece modificaciones a la Ley de Violencia Intrafamiliar, modifica el Código Penal con el fin de subsanar las deficiniencias en la actual tipificación del delito de femicidio. Se regula como falta el acoso sexual sin contacto corporal.",,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
24,"Medio Ambiente",Mejoramiento en gestión de recursos hídricos,"Es imprescindible mejorar la gestión de los recursos hídricos. Necesitamos que el Estado cuente con mayores facultades de fiscalización y de gestión. Con ese fin, he decido hacer indicaciones a la moción parlamentaria sobre la Dirección General de Aguas",70%,3,70%,2,7543-12,"El proyecto de Ley contempla una modificación al Código Penal, tipificando delitos relacionados a la extracción ilegal de agua. Además establece  ",https://www.camara.cl/pley/pley_detalle.aspx?prmID=7936&prmBoletin=7543-12,,,,1,,,,,,Segundo Tramite,"0,7",9,7,,16,,1,,,3,"El proyecto de ley busca introducir modificaciones al Código de Aguas, dentro de las cuales se destacan: los nuevos derechos de aprovechamiento de aguas dejarán de ser un derecho perpetuo, se establece el consumo humano y de saneamiento como usos prioritarios del agua y se fortalecen las atribuciones de la Dirección General de Aguas, entre otras. Durante el 2016 se puso urgencia y se tramitó el proyecto. Lo que fue finalmente aprobado por la Cámara de Diputados es positivo en este sentido. Sin embargo, el 2017 en el Senado se hicieron nuevas indicaciones, y estas representan un retroceso en temas importantes de potestades de la Dirección General de Aguas, como el caudal ecológico y las ""aguas del minero"". Ahora bien, es un retroceso en comparación con lo aprobado por la Cámara de Diputados, en términos generales sigue siendo mejor que lo que hay. En esta etapa, sin embargo, el avance es menor del necesario y esperado (justificación proporcionada por ONG FIMA).",,"La promesa cuenta con 2 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos",La promesa cuenta con 2 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
24,"Medio Ambiente",Mejoramiento en gestión de recursos hídricos,,,,70%,4,8149-09,Introduce modificaciones al marco normativo que rige las aguas en materia de fiscalización y sanciones.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8548&prmBoletin=8149-09,,,,1,,,,,,Segundo Tramite,"0,7",,12,,12,,,,1,4,"El proyecto de ley contempla una modificación al Código Penal, tipificando delitos relacionados a la extracción ilegal de agua. Además se establece la modificación del artículo 173 del Código de Aguas, aumentando el límite de multas y el perfeccionamiento de la capacidad fiscalizadora de la Dirección General de Aguas. ",,"La promesa cuenta con 2 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos",La promesa cuenta con 2 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
25,Obras Públicas,Creación de Dirección General de Concesiones,"Cumplimos 20 años desde que concesionamos la primera obra pública y llegó el momento de perfeccionar la institucionalidad para los próximos 20 años. Nuestro deber es garantizar que las obras concesionadas serán diseñadas y ejecutadas con el mayor rigor y calidad. A eso apunta la creación de la Dirección General de Concesiones, actualmente en discusión en este Congreso",70%,4,,,10126-15,Crea la Dirección General de Concesiones de Obras Públicas y modifica las normas que señala,https://www.camara.cl/pley/pley_detalle.aspx?prmID=10549&prmBoletin=10126-15,,,,1,,,,,,Segundo Tramite,"0,7",1,8,,9,,,,1,4,"Para el fortalecimiento de los procesos de negocio asociados a las concesiones, se plantea que la institucionalidad orgánica recoja las buenas prácticas y procesos de la experiencia de la Coordinación de Concesiones de Obras Públicas, alojando en la Dirección General de Concesiones las funciones y atribuciones que permitan desarrollar todo el proceso de la infraestructura concesionada.",,El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
26,Obras Públicas,Creación de Fondo de Estructura,"Y hemos propuesto la creación del Fondo de Infraestructura, que con un potencial de hasta nueve mil millones de dólares, busca facilitar el financiamiento de nuevas obras acompañando al sector privado",40%,4,,,10647-09,"Crea una sociedad anónima del Estado denominada ""Fondo de estructura S.A.""",https://www.camara.cl/pley/pley_detalle.aspx?prmID=11074&prmBoletin=10647-09,1,,,,,,,,,Primer Tramite,"0,4",,9,,9,,,,1,4,"El proyecto de ley crea una sociedad anónima del Estado denominada “Fondo de Infraestructura S.A.”, cuyo objeto será la construcción, ampliación, reparación, conservación, explotación, desarrollo, financiamiento o inversión referidas a proyectos de infraestructura, incluidos servicios anexos a éstos. Esta sociedad contemplará una participación del capital social del 99% por parte del Fisco y una participación de 1% de la Corporación de Fomento de la Producción (CORFO).",,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
