uid,area,titulo,promesa,avance_total,boletin,titulo_proyecto,link,1° tramite,veto,insistencia,2°-3° tramite,comision_mixta,tribunal_constitucional,aprobacion_presidencial,promulgado,rechazado/retirado,nombre_avance,avance,simple,suma,inmediata,total_urgencias,ja_porque
11,Cultura,Ley de Artes Visuales,"Se trabajará por una Ley de Artes Visuales, en conjunto con las organizaciones y gremios del sector.",0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
12,Cultura,Nueva Ley de Archivos,"Nueva Ley de Archivos: actualización al siglo XXI de los ámbitos de gestión, territorialidad y transparencia de los archivos públicos. Fomento al desarrollo de archivos locales y comunitarios.",0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
13,Defensa,Control civil sobre gastos FF.AA,"Fortalecer el control civil sobre el financiamiento y ejecución presupuestaria de las FF.AA. otorgando mayores atribuciones de auditoría, supervisión y fiscalización al Ministerio de Defensa, al Congreso Nacional y a la Contraloría General de la República.",0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
14,Defensa,Agencia civil de compras militares,Enviar al congreso el proyecto de Ley para la creación de una agencia civil de compras y adquisiciones militares.,0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
15,Defensa,Fin secreto de las juntas de selección y apelación de FFAA,"Terminar con el secreto de las juntas de selección y apelación, consagrado en el art. 26 de la Ley Orgánica Constitucional de las FF.AA.",0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
16,Defensa,Gestión documental de la información," Reformar el régimen administrativo diferenciado de gestión documental de la información, en relación con el resto de la  administración del Estado, que se contiene en el Decreto con Fuerza Ley 5200 de 1929, resguardando solo documentos calificados como secretos, siendo la generalidad de ellos traspasados al Archivo Nacional.",0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
17,Defensa,Restriccion de justicia militar,"Avanzar en las reformas pendientes en materia de justicia militar, restringiendo esta jurisdicción sólo a delitos estrictamente de carácter militar cometidos por militares.",0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
18,Defensa,Supervisión civil de FFAA,"Revisión de la ley 20.424 Estatuto Orgánico del Ministerio de Defensa Nacional, y la ley 18.948 orgánica constitucional de las Fuerzas Armadas, tanto para ajustarlas a las eventuales definiciones constitucionales, como para aumentar las capacidades de dirección, mando y control de las autoridades civiles de la defensa, institucionalizado el proceso de planificación por capacidades, de carácter conjunto y desarrollando una carrera funcionaria adecuada para su ejecución. Dotar al Jefe del Estado Mayor Conjunto de jerarquía y autoridad superior a los Comandantes en Jefe Institucionales, asumiendo además, el mando superior y la conducción estratégica de las FF.AA. también en tiempos de paz, con el propósito de fortalecer y desarrollar la  doctrina conjunta de la fuerza en todos sus niveles.",0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
19,Defensa,Selección escuelas matrices,Reforma a la ley 18.948. El Ministerio de Defensa deberá fiscalizar y validar los procesos de selección en las escuelas matrices.,0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
20,Democracia,"Ley de participación integral de niños, niñas y adolescentes","Ley de participación integral de niños, niñas y adolescentes",0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
21,Democracia,Refuerzo a la legislación sobre participación ciudadana,"Reforzaremos la legislación vigente sobre participación ciudadana, especialmente la Ley 20.500 sobre asociaciones y  participación ciudadana en la gestión pública. Primero, reforzaremos la obligatoriedad de la constitución y el buen funcionamiento de los Consejos de la Sociedad Civil (COSOC). Además, extenderemos su alcance a los gobiernos regionales y a los demás poderes del Estado.",0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
22,Democracia,Mejoras a la ley de Juntas de Vecinos y Organizaciones Comunitarias ,Se mejorará la Ley 19.418 sobre Juntas de Vecinos y Organizaciones Comunitarias para empoderarlas y así aumentar su incidencia en los asuntos públicos de sus territorios.,0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
23,Democracia,Profundizar los lineamientos de educación cívica,"Reforzaremos la educación para la ciudadanía, profundizando los lineamientos contenidos en la Ley 20.911, con el fin de fortalecer la cultura participativa en el país. Mecanismos accesibles de formación ciudadana deberán estar disponibles
también para dirigencias sociales y la ciudadanía promoviendo la solidaridad, la cooperación y el interés por el bien  común.",0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
24,Democracia,Derechos políticos de chilenas y chilenos en el extranjero,"Garantizar y ampliar los derechos políticos de chilenas y chilenos residentes en el extranjero, resguardando la protección frente a vulneraciones de sus derechos sociales y civiles, fortaleciendo su vinculación con consulados y otros servicios del Estado y creando condiciones para que puedan retornar al país, cuando así lo deseen.",0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
25,Deporte,Deporte en televisión abierta,Fortaleceremos el derecho de los medios públicos a transmitir competencias deportivas y partidos de fútbol profesional por los canales de televisión abierta.,0%,,,,,,,,,,,,,,0,,,,,No se conocen proyectos de ley asociados a esta promesa.
26,Deporte,Ley de Deporte Laboral,"Impulsaremos una Ley de Deporte Laboral, que concilie el trabajo con la actividad física, la recreación, el deporte y el movimiento.",0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
27,Deporte,Modelo Chileno de Administración del Fútbol Profesional ,Crearemos un Modelo Chileno de Administración del Fútbol Profesional en el cual las personas que son socias e hinchas tengan una incidencia real en las políticas de desarrollo del club.,70%,10634-29,"Modifica la ley N° 20.019, que Regula las Sociedades Anónimas Deportivas Profesionales, en materia de fiscalización, de conflictos de interés, y de fomento de la participación de los hinchas en la propiedad de las mismas",	http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10634-29,,,,1,,,,,,Segundo Tramite,"0,7",12,2,,14,El proyecto de ley asociado se encuentra en Segundo Tramite constitucional
28,Deporte,Profesionalizar el fútbol femenino,"Profesionalizaremos y dignificaremos el fútbol femenino, procurando que las jugadoras tengan un contrato de trabajo y condiciones laborales dignas, similares al fútbol masculino. Para ello promoveremos las reformas legales necesarias para que las ligas y competencias juveniles y femeninas tengan acceso a los subsidios e instrumentos de fomento deportivos contemplados en la Ley del Deporte.",100%,12470-29,"Exige la celebración de un contrato, en los términos que indica, entre las sociedades anónimas deportivas profesionales y las deportistas que sean parte del Campeonato Nacional Femenino de Fútbol",https://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=12470-29,,,,,,,,1,,Promulgado,1,,,,0,El proyecto de ley asociado se encuentra publicado y es Ley de la República.
29,Desarrollo Social,Posnatal obligatorio e intransferible para los hombres," Se impulsará un posnatal obligatorio e intransferible para los hombres. Para estos efectos, se reconocerá a las familias diversas. Se promoverá la creación de permisos de libre disposición para trámites de cuidados y en general una política laboral donde la conciliación de vida y trabajo sea parte de lo básico.",0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
30,Desarrollo Social,Condonaciones por pandemia,"Plan especial de condonación de intereses y multas devengadas durante la pandemia; nueva política de condonaciones de intereses y multas, y de convenios de pago con la Tesorería General de la República; Postergación del pago del IVA –sin reajustes, intereses ni multas– por 3 meses desde la fecha de vencimiento de la obligación de pago.",100%,15259-03,"Modifica el Fondo de Garantía para Pequeños y Medianos Empresarios y permite flexibilizar convenios de pago por impuestos adeudados, para apoyar la reactivación de la economía",http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=15259-03,,,,,,,,1,,Promulgado,1,,,,0,El proyecto de ley asociado se encuentra publicado y es Ley de la República.
31,Desarrollo Social,Modernizar institucionalidad en discapacidad,Modernizaremos la actual institucionalidad en discapacidad para dotarla de mayor relevancia y capacidad de  coordinación.,0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
32,Desarrollo Social,Sistema Nacional de Apoyos Públicos,Para avanzar en la transversalidad de enfoque en torno a la discapacidad y poner fin a la interdicción crearemos un Sistema Nacional de Apoyos Públicos que garantice la plena capacidad jurídica de las personas con discapacidad que lo requieran.,40%,16905-31,"Reconoce el derecho al cuidado y crea el Sistema Nacional de Apoyos y Cuidados
",https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=17523&prmBOLETIN=16905-31 ,1,,,,,,,,,Primer Tramite,"0,4",,,,,El proyecto de ley asociado se encuentra en Primer Tramite constitucional
33,Economía y Comercio,Ley de Rentas Regionales,"En materia fiscal, enviaremos el esperado proyecto de ley de Rentas Regionales.",40%,15921-05,"Dicta normas sobre financiamiento regional, descentralización fiscal y responsabilidad fiscal regional",http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=15921-05,1,,,,,,,,,Primer Tramite,"0,4",9,5,,14,El proyecto de ley asociado se encuentra en Primer Tramite constitucional
34,Economía y Comercio,"Nueva institucionalidad para el fomento productivo, científico y tecnológico","Proponemos una nueva institucionalidad para el fomento productivo, científico y tecnológico",40%,16441-19,"Crea una nueva institucionalidad de prospectiva y desarrollo sostenible basada en conocimiento, y modifica la ley N° 21.105, que crea el Ministerio de Ciencia, Tecnología, Conocimiento e Innovación, en los términos que indica",http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=16441-19,1,,,,,,,,,Primer Tramite,"0,4",2,,,2,El proyecto de ley asociado se encuentra en Primer Tramite constitucional
35,Economía y Comercio,Nuevo marco regulatorio de fomento forestal,Derogaremos el DL 701 para sustituirlo por un nuevo marco regulatorio de fomento forestal y generar normas de protección ambiental para plantaciones forestales,0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
36,Economía y Comercio,Modificacion ley de turismo,Trabajaremos por modificar la ley de turismo para entregar mayores atribuciones y facultades a la Subsecretaría de Turismo.,70%,16817-05,Sobre reactivación del turismo y de fomento a la industria audiovisual,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=16817-05,,,,1,,,,,,Segundo Tramite,"0,7",,,,0,El proyecto de ley asociado se encuentra en Segundo Tramite constitucional
37,Economía y Comercio,Banco Nacional de Desarrollo (BND),"Proponemos un Banco Nacional de Desarrollo (BND) que funcione como un conglomerado financiero con dos empresas estatales  especializadas: Un Banco especializado en créditos, con instrumentos de primer y segundo piso; y un Fondo de Financiamiento especializado en el otorgamiento de capital a empresas innovadoras, ambos con un gobierno corporativo especializado e independiente y con financiamiento adhoc a sus instrumentos.",70%,16889-05,"Crea una Agencia de Financiamiento e Inversión para el Desarrollo (Afide), y la autoriza a participar en fondos de fondos",http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=16889-05,,,,1,,,,,,Segundo Tramite,"0,7",,,,0,El proyecto de ley asociado se encuentra en Segundo Tramite constitucional
38,Economía y Comercio,Directorios de las empresas del conglomerado BND,Los directorios de las empresas del conglomerado BND estarán conformados por miembros seleccionados por el nuevo Consenso Nacional para el Desarrollo a través del Sistema de Alta Dirección Pública y miembros nominados por presidencia y aprobados por el congreso.,70%,16889-05,"Crea una Agencia de Financiamiento e Inversión para el Desarrollo (Afide), y la autoriza a participar en fondos de fondos
",https://www.camara.cl/legislacion/proyectosdeley/tramitacion.aspx?prmID=17500&prmBOLETIN=16889-05 ,,,,1,,,,,,Segundo Tramite,"0,7",,,,0,El proyecto de ley asociado se encuentra en Segundo Tramite constitucional
39,Economía y Comercio,Perfeccionamiento de la ley de pago a 30 días,"Proyecto de ley que perfeccione la deficiente ley de pago a 30 días, que incluya tanto medidas legales como administrativas para aumentar las sanciones, así como limitar el uso del crédito fiscal IVA a empresas que no cumplan con sus obligaciones de pago.",40%,15716-03,"Introduce modificaciones a la ley Nº 19.983, que regula la transferencia y otorga mérito ejecutivo a copia de la factura, y al decreto ley N° 825, de 1974, del Ministerio de Hacienda, ley sobre impuesto a las ventas y servicios, para mejorar el pago a treinta días",http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=15716-03,1,,,,,,,,,Primer Tramite,"0,4",10,,,10,El proyecto de ley asociado se encuentra en Primer Tramite constitucional
40,Economía y Comercio,"Mejoras a la Ley
de I+D ",Mejoraremos las condiciones de acceso a la Ley de I+D para que más empresas de menor tamaño puedan aprovechar sus beneficios.,40%,15170-05,Establece reforma tributaria hacia un pacto fiscal por el desarrollo y la justicia social,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=15170-05,,,1,,,,,,,Insistencia,"0,4",3,11,6,20,El proyecto de ley asociado se encuentra en Primer Tramite constitucional
41,Economía y Comercio,"Subsidios directos
por la aplicación de reformas laborales","Crearemos subsidios directos para que la aplicación de reformas laborales, como las 40 horas y aumento de salario mínimo, no tengan un impacto negativo en el desempeño económico de las mipymes. Así, la entrada en régimen de estas reformas será más gradual para estas empresas que para las grandes empresas.",100%,14936-13,"Reajusta el monto del Ingreso Mínimo Mensual, así como la Asignación Familiar y Maternal, y el Subsidio Familiar, otorga un subsidio temporal a las Micro, Pequeñas y Medianas Empresas en la forma que indica, y establece un aporte compensatorio del aumento del valor de la Canasta Básica de Alimentos",http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=14936-13,,,,,,,,1,,Promulgado,1,,,4,4,El proyecto de ley asociado se encuentra publicado y es Ley de la República.
42,Economía y Comercio,Instituto Nacional de Cooperativismo,"Crearemos el Instituto Nacional de Cooperativismo. Organismo que podrá definir una estrategia de mediano plazo de promoción del sector cooperativista
",0%,,Este proyecto se ejecutó por vía administrativa a través de la creación de un  Comité en Corfo,https://twitter.com/GabrielBoric/status/1765189531169419340/photo/1,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
43,Economía y Comercio,Participación de cooperativas en capital,"Además, promoveremos cambios normativos e incentivos que faciliten que los trabajadores y trabajadoras de una misma empresa privada tradicional, organizados en una cooperativa, puedan adquirir capital accionario de la misma.",0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
44,Economía y Comercio,Desintegración del impuesto a la renta y corporativo,"Desintegración del impuesto a la renta para las grandes empresas y sociedades de inversión, separando el impuesto que paga una empresa del que les  corresponde pagar a sus accionistas al retirar utilidades.",40%,15170-05,Establece reforma tributaria hacia un pacto fiscal por el desarrollo y la justicia social,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=15680&prmBOLETIN=15170-05,,,1,,,,,,,Insistencia,"0,4",3,11,6,20,El proyecto de ley asociado se encuentra en Primer Tramite constitucional
45,Economía y Comercio,Aumentar tasas de los impuestos personales de altos ingresos,"Modificar tramos y tasas de los impuestos personales, aumentando la carga tributaria de quienes ganen más de $4.500.000 mensuales.",40%,15170-05,Establece reforma tributaria hacia un pacto fiscal por el desarrollo y la justicia social,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=15680&prmBOLETIN=15170-05,,,1,,,,,,,Insistencia,"0,4",3,11,6,20,El proyecto de ley asociado se encuentra en Primer Tramite constitucional
46,Economía y Comercio,Eliminación del régimen de renta presunta,"Eliminación del régimen de renta presunta, pasando a estos contribuyentes al régimen Pyme.",0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
47,Economía y Comercio,Eliminación de la exención a las ganancias bursátiles,Eliminación de la exención a las ganancias de capital en instrumentos bursátiles. Dichos ingresos deberán sujetarse a las normas generales de tributación.,40%,15170-05,Establece reforma tributaria hacia un pacto fiscal por el desarrollo y la justicia social,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=15680&prmBOLETIN=15170-05,,,1,,,,,,,Insistencia,"0,4",3,11,6,20,El proyecto de ley asociado se encuentra en Primer Tramite constitucional
48,Economía y Comercio,Limitación o eliminación de los beneficios para inmuebles DFL-2,"Limitación o eliminación de los beneficios para inmuebles DFL-2, cuidando de no afectar a la clase media.",40%,15170-05,Establece reforma tributaria hacia un pacto fiscal por el desarrollo y la justicia social,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=15680&prmBOLETIN=15170-05,,,1,,,,,,,Insistencia,"0,4",3,11,6,20,El proyecto de ley asociado se encuentra en Primer Tramite constitucional
49,Economía y Comercio,Reducción de exenciones," Reducción del monto exento en las ganancias de capital por venta de inmuebles, y eliminación del impuesto sustitutivo del 10%, pasando a tributar según el  régimen general.",0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
50,Economía y Comercio,Eliminación de beneficios para inmuebles adquiridos antes de enero de 2004,Eliminación de beneficios para inmuebles adquiridos antes de enero de 2004.,0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
51,Economía y Comercio,Eliminación de los beneficios a los retiros de libre disposición,Eliminación de los beneficios a los retiros de libre disposición.,90%,15480-13,"Crea un nuevo Sistema Mixto de Pensiones y un Seguro Social en el pilar contributivo, mejora la Pensión Garantizada Universal y establece beneficios y modificaciones regulatorias que indica",http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=15480-13,,,,,,,1,,,Aprobación Presidencial,"0,9",2,8,,10,El proyecto de ley asociado se encuentra en Tribunal Constitucional o a la espera de de Aprobación Presidencial.
52,Economía y Comercio,Eliminación de exención del impuesto a la herencia respecto de los seguros de vida,Eliminación de exención del impuesto a la herencia respecto de los seguros de vida.,0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
53,Economía y Comercio,Revisión de la deducción por intereses de créditos hipotecarios ,Revisión de la deducción por pago de intereses derivados de créditos hipotecarios para enfocar beneficio en la clase media.,40%,15170-05,Establece reforma tributaria hacia un pacto fiscal por el desarrollo y la justicia social,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=15680&prmBOLETIN=15170-05 ,,,1,,,,,,,Insistencia,"0,4",3,11,6,20,El proyecto de ley asociado se encuentra en Primer Tramite constitucional
54,Economía y Comercio,Término del crédito especial IVA para empresas constructoras,"Término del crédito especial IVA para empresas constructoras, con mecanismos que eviten perjudicar la adquisición de viviendas sociales.",0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
55,Economía y Comercio,Limitación de pérdidas tributarias de arrastre,Limitación de la utilización de pérdidas tributarias de arrastre.,0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
56,Economía y Comercio,Eliminación de la exención a los fondos de inversión privados ,Eliminación de la exención del impuesto de primera categoría a los fondos de inversión privados (FIP).,40%,15170-05,Establece reforma tributaria hacia un pacto fiscal por el desarrollo y la justicia social, https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=15680&prmBOLETIN=15170-05 ,,,1,,,,,,,Insistencia,"0,4",3,11,6,20,El proyecto de ley asociado se encuentra en Primer Tramite constitucional
57,Economía y Comercio,Impuesto a la riqueza,"Un impuesto al patrimonio neto de aquellas personas naturales de alto patrimonio que tengan domicilio o residencia en Chile, respecto de su riqueza en el  país o en el exterior.",40%,15170-05,Establece reforma tributaria hacia un pacto fiscal por el desarrollo y la justicia social,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=15680&prmBOLETIN=15170-05 ,,,1,,,,,,,Insistencia,"0,4",3,11,6,20,El proyecto de ley asociado se encuentra en Primer Tramite constitucional
58,Economía y Comercio,Impuesto a las utilidades retenidas,Un impuesto a las utilidades retenidas en las empresas cuya tributación se encuentra pendiente. (...) Las pymes estarán exentas de esta tributación.,40%,15170-05,Establece reforma tributaria hacia un pacto fiscal por el desarrollo y la justicia social,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=15680&prmBOLETIN=15170-05 ,,,1,,,,,,,Insistencia,"0,4",3,11,6,20,El proyecto de ley asociado se encuentra en Primer Tramite constitucional
59,Economía y Comercio,Modificar el impuesto a la herencias,"Modificar el impuesto a la herencias y donaciones, acercando los valores por los cuales se paga dicho impuesto a un valor más cercano al comercial. Además, limitar o eliminar exenciones que no se justifican y establecer normas antielusión para limitar la planificación en vida.",100%,16621-05,"Dicta normas para asegurar el cumplimiento de las obligaciones tributarias dentro del Pacto por el Crecimiento Económico, el Progreso Social y la Responsabilidad Fiscal",http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=16621-05,,,,,,,,1,,Promulgado,1,,1,,1,El proyecto de ley asociado se encuentra publicado y es Ley de la República.
60,Economía y Comercio,Revisar exenciones en contribuciones territoriales,"Revisar las exenciones injustas en contribuciones territoriales, y perfeccionar una herramienta ya existente, la sobretasa de impuesto territorial, aumentando su tasa y estableciendo nuevas reglas de valoración de activos. Para estos efectos se establecerán mecanismos para evitar situaciones de doble tributación respecto de aquellos contribuyentes que se graven con el impuesto al patrimonio.",0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
61,Economía y Comercio,Evitar estructuras jurídicas que limitan la potestad tributaria del país,"Modificar cuerpos normativos con el objeto de evitar el uso de estructuras jurídicas que limitan la potestad tributaria del país y la recaudación. Se tomará en consideración la experiencia internacional y los estándares OCDE, por ejemplo, en materia de exceso de endeudamiento, en normas sobre paraísos tributarios, normas sobre rentas pasivas, sobre venta de empresas en el exterior con activos subyacentes en Chile, etc.",100%,16621-05,"Dicta normas para asegurar el cumplimiento de las obligaciones tributarias dentro del Pacto por el Crecimiento Económico, el Progreso Social y la Responsabilidad Fiscal",http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=16621-05,,,,,,,,1,,Promulgado,1,,1,,1,El proyecto de ley asociado se encuentra publicado y es Ley de la República.
62,Economía y Comercio,Impuesto al CO2 ,"Aumentar gradualmente el impuesto al CO2 desde 5 a 40 USD/tCO2, y ampliar su alcance abarcando distintas fuentes de emisión.",0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
