uid,area,titulo,promesa,avance_total,coherencia,,,boletin,titulo_proyecto,link,1° tramite,veto,insistencia,2°-3° tramite,comision_mixta,tribunal_constitucional,aprobacion_presidencial,promulgado,rechazado/retirado,nombre_avance,avance,simple,suma,inmediata,total_urgencias,marginal,parcial_minima,parcial_alta,total,escala_de_coherencia,justificacion_avance,justificacion_nota,ja_porque,jn_porque,
19,Defensa,Justicia Militar y Civil,"Reformaremos la competencia de la Justicia Militar, de manera tal que las causas con civiles víctimas de delitos cometidos por militares y carabineros sean conocidas por tribunales ordinarios. Se avanzará desde el actual modelo de fuero militar hacia uno nuevo caracterizado por la igualdad de las garantías procesales entre ciudadanos civiles y uniformados, con una judicatura letrada y plenamente independiente de la estructura de mando militar",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa,
21,Democracia,Sustitución del Sistema Electoral Binominal,Impulsaremos la sustitución del actual sistema electoral binominal para la elección parlamentaria por uno de representación proporcional,100%,4,,,9326-07,Sustituye el sistema electoral binominal por uno de carácter proporcional inclusivo y fortalece la representatividad del Congreso Nacional,https://www.camara.cl/pley/pley_detalle.aspx?prmID=9742&prmBoletin=9326-07,,,,,,,,1,,Promulgado,1,4,11,4,19,,,,1,4,,Se reemplaza el sistema electoral binominal por uno proporcional moderado.,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada,
22,Democracia,Nueva Constitución Política,"De esta manera, basada en una fuerte convicción democrática, se recoge la demanda nacional por una Nueva Constitución Política para Chile a impulsar en un proceso democrático, institucional y participativo que permita alcanzar este propósito",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa,
23,Democracia,Creación de la Defensoría del Pueblo,Impulsaremos la creación de la Defensoría del Pueblo u Ombudsman,0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa,
24,Democracia,Elección democrática de Intendentes,"En el plano político, nuestra convicción es que cada región debe elegir a las autoridades que representan mejor los anhelos, sueños y proyectos de la comunidad. Si hoy se eligen alcaldes, parlamentarios y Consejeros Regionales, ese mecanismo debe extenderse a la máxima autoridad regional, hoy su intendente o intendenta",40%,2,,,9834-06,Dispone la elección popular del órgano ejecutivo del gobierno regional.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=10247&prmBoletin=9834-06,1,,,,,,,,,Primer Tramite,"0,4",6,,,6,,1,,,2,,"Pretende modificar la constitución estableciendo que el cargo de Intendente se elige por votación popular y dura 4 años con posibilidad de reelección inmediata. Sin embargo, para que este proyecto sea efectivo, es necesario contar con una Ley Orgánica que regule la elección, la que aún no a sido enviada al congreso",El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es marginalmente coherente con la promesa realizada,
26,Democracia,Derecho a voto de chilenos en el extranjero,"Nos comprometemos a impulsar la tramitación, hasta su aprobación, de un proyecto de ley que otorgue el derecho a voto de chilenos en el extranjero. / Regula el ejercicio del derecho a voto de los chilenos en el extranjero",70%,4,100%,4,9069-07,Regula el ejercicio del sufragio de los ciudadanos que se encuentran fuera del país.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=9474&prmBoletin=9069-07,,,,,,,,1,,Promulgado,1,,2,,2,,,,1,4,,Ver Reforma Constitucional: http://www.leychile.cl/Navegar?idLey=20748&tipoVersion=0,"La promesa cuenta con 2 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos ",La promesa cuenta con 2 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos,
26,Democracia,Derecho a voto de chilenos en el extranjero,,,,40%,4,10344-06,Regula el ejercicio del sufragio de los ciudadanos que se encuentran fuera del país.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=10765&prmBoletin=10344-06,1,,,,,,,,,Primer Tramite,"0,4",1,,,1,,,,1,4,,"Proyecto de ley aborda la inscripción y cambio de domicilio de los chilenos que sufraguen en el exterior, y la modalidad de votación en el extranjero. ","La promesa cuenta con 2 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos ",La promesa cuenta con 2 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos,
39,Desarrollo Social,Creación de la Subsecretaría de la Discapacidad,"Establecer la institucionalidad pública será una prioridad. Crearemos la Subsecretaría de la Discapacidad, que impulsará de manera transversal el tema, teniendo como eje la integración y necesidades de las personas con discapacidad y sus familias",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa,
83,Desarrollo Social,Apoyo al Comité Paralímpico Chileno,"Apoyar el funcionamiento del Comité Paralímpico Chileno independiente del Comité 
Olímpico",70%,4,,,9837-29,"Modifica la ley N° 19.712, del Deporte, y la ley N° 20.686, que  Crea el Ministerio del Deporte, con el objeto de incorporar el  deporte adaptado y paralímpico",https://www.camara.cl/pley/pley_detalle.aspx?prmID=10258,,,,1,,,,,,Segundo Tramite,"0,7",,,,,,,,1,4,,Crea el El Comité Paralímpico de Chile será la máxima organización paralímpica del país.,El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada,
85,Desarrollo Social,Sobre el deber del Estado de establecer políticas contra la discriminación,"En materia legislativa, promoveremos una reforma a la Ley 20.609, de no discriminación, respondiendo a la demanda transversal de las organizaciones de la sociedad civil que intervinieron en su tramitación, de tal modo que no quede reducida simplemente a la consagración de una acción judicial, sino que se establezca el deber para el Estado de elaborar políticas públicas contra la discriminación, acciones afirmativas a favor de los grupos históricamente discriminados y medidas de reparación",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa,
86,Desarrollo Social,Medidas contra la incitación al odio,"Junto a ello, evaluaremos una iniciativa en contra de la incitación al odio, que contemple todas las categorías establecidas en la actual ley de no discriminación",40%,3,,,7130-07,Tipifica el delito de incitación al odio racial y religioso,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7531&prmBoletin=7130-07,1,,,,,,,,,Primer Tramite,"0,4",10,10,,20,,,1,,3,,"Tipifica el delito de incitación al odio pero no contempla todas las categorías de la Ley que Establece Medidas contra la Discriminación, tales como: la situación socioeconómica, el idioma, la opinión política, la sindicación o participación en organizaciones gremiales o la falta de ellas, la identidad de género, el estado civil, la edad, la filiación y la apariencia personal.",El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es parcialmente coherente con la promesa realizada,
150,Desarrollo Social,Ley de Aporte Familiar Permanente Marzo,"En los primeros 100 días de Gobierno, enviaremos al Congreso, con discusión inmediata, el proyecto de ley del Aporte Familiar Permanente Marzo",100%,4,,,9273-05,Concede aporte familiar permanente de marzo y ajusta norma que indica.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=9681&prmBoletin=9273-05,,,,,,,,1,,Promulgado,1,,,2,2,,,,1,4,,Se crea un aporte monetario familiar de carácter permanente para las familias de menores ingresos durante el mes de marzo.,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada,
151,Desarrollo Social,Nueva institucionalidad para la medición de la pobreza,Crearemos una nueva institucionalidad para la medición de la pobreza,40%,4,,,10372-03,Crea una nueva institucionalidad del sistema estadístico nacional.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=10795&prmBoletin=10372-03,1,,,,,,,,,Primer Tramite,"0,4",,,,0,,,,1,4,,"Proyecto de ley crea Medición Oficial de la Pobreza y establece que será función del Instituto Nacional de Estadísticas realizar la medición de la pobreza. Para proceder a esta medición, el Ministerio de Desarrollo Social será el mandante del proceso",El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada,
152,Desarrollo Social,Beneficios previsionales a adultos mayores,"Adicionalmente, evaluaremos e implementaremos una normativa que permita hacer extensiva la asignación por muerte a la totalidad de los adultos mayores que tienen PBS y a los beneficiarios de APS con saldo cero en su cuenta individual",100%,4,,,10201-13,"Exime de la obligación de efectuar cotizaciones de salud a pensionados mayores de 65 años, facilita la tramitación de prestaciones de vejez y otorga otros beneficios que indica.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=10616&prmBoletin=10201-13,,,,,,,,1,,Promulgado,1,,,,0,,,,1,4,,La ley establece que los beneficiarios del Sistema de Pensiones Solidarias que no sean causantes de asignación por muerte o cuota mortuoria en algún régimen de seguridad social causarán asignación por muerte,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada,
3,Economía y Comercio,Tranparencia Asociaciones de Consumidores,"Eliminar las restricciones legales que establece que las Asociaciones sólo pueden realizar actividades lucrativas para la recuperación de sus costos y como contrapartida, incrementar las obligaciones de transparencia de su financiamiento y exigir normas de contabilidad regulatoria",70%,4,,,9369-03,"Modifica ley N° 19.496, sobre Protección de los Derechos de los 
Consumidores.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=9783,,,,1,,,,,,Segundo Tramite,"0,7",,,,0,,,,1,4,,Se establecen nuevas reglas de contabilidad y transparencia de asociaciones de consumidores,El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada,
20,Economía y Comercio,Financiamiento de Asociaciones de Consumidores,Elevar los fondos estatales para el financiamiento de las Asociaciones de Consumidores,70%,4,,,9369-03,"Modifica ley N° 19.496, sobre Protección de los Derechos de los 
Consumidores.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=9783,,,,1,,,,,,Segundo Tramite,"0,7",,,,0,,,,1,4,,El Fondo concursable al que se refiere el artículo anterior considerará una línea especial de financiamiento permanente a dichas asociaciones para el desarrollo de sus funciones,El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada,
31,Economía y Comercio,Indemnización a consumidores,Avanzar en establecer compensaciones e indemnizaciones que aseguren una disuasión efectiva y una reparación adecuada en el ámbito de los Derechos de los Consumidores,70%,4,,,9369-03,"Modifica ley N° 19.496, sobre Protección de los Derechos de los 
Consumidores.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=9783,,,,1,,,,,,Segundo Tramite,"0,7",,,,0,,,,1,4,,Se contemplan indemnizaciones punitivas y se aumentos a las indemnizaciones cuando proceden ciertas circunstancias.,El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada,
43,Economía y Comercio,Nuevo estatus legal para el Fondo de Innovación para la Competitividad,"El Fondo de Innovación para la Competitividad (FIC) (...) contarán con un nuevo estatus legal, que les permita estabilidad, junto con ampliar su ámbito de preocupación desde la competitividad al desarrollo nacional, manteniendo el énfasis en los temas de la investigación científica, el desarrollo tecnológico, la innovación y el emprendimiento, tanto en su dimensión productiva como social",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa,
44,Economía y Comercio,"Creación de la Subsecretaría de Ciencia, Tecnología e Innovación","En el ámbito institucional, fortaleceremos al Ministro de Economía en su rol de autoridad responsable en el campo de la innovación y el desarrollo productivo, creando la Subsecretaría de Ciencia, Tecnología e Innovación",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa,
45,Economía y Comercio,Reforma Tributaria,En los primeros 100 días de Gobierno se enviará al Congreso el Proyecto de Ley de Reforma Tributaria,100%,4,,,9290-05,Reforma tributaria que modifica el sistema de tributación de la renta e introduce diversos ajustes en el sistema tributario. ,https://www.camara.cl/pley/pley_detalle.aspx?prmID=9702&prmBoletin=9290-05,,,,,,,,1,,Promulgado,1,6,1,,7,,,,1,4,,"Se ingresa una reforma tributaria con 4 grandes objetivos: aumentar la carga tributaria para financiar, con ingresos permanentes, los gastos permanentes de la reforma educacional; avanzar en equidad tributaria, mejorando la distribución del ingreso; introducir nuevos y más eficientes mecanismos de incentivos al ahorro e inversión, y avanzar en medidas que disminuyan la evasión y la elusión.",El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada,
46,Economía y Comercio,Fortalecimiento del SERNAC,"En los primeros 100 días de Gobierno, enviaremos al Congreso el proyecto de ley del fortalecimiento del SERNAC, que permitirá que tenga atribuciones reales y efectivas para defender los derechos de los consumidores",70%,4,,,9369-03,"Modifica ley N° 19.496, sobre Protección de los Derechos de los Consumidores. ",https://www.camara.cl/pley/pley_detalle.aspx?prmID=9783&prmBoletin=9369-03,,,,1,,,,,,Segundo Tramite,"0,7",6,18,3,27,,,,1,4,,El proyecto fortalece al Sernac y le otorga mayores facultades de fiscalización y de sanción en materia de derechos de los consumidores,El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada,
47,Economía y Comercio,Regulación de juicios colectivos,"Revisaremos la regulación de los juicios colectivos, para asegurar un procedimiento eficiente que procure soluciones adecuadas",70%,3,,,9369-03,"Modifica ley N° 19.496, sobre Protección de los Derechos de los Consumidores. ",https://www.camara.cl/pley/pley_detalle.aspx?prmID=9783&prmBoletin=9369-03,,,,1,,,,,,Segundo Tramite,"0,7",6,18,3,27,,,1,,3,,"El proyecto se preserva y perfecciona la facultad del SERNAC de llevar a cabo mediaciones colectivas con anterioridad al ejercicio de las acciones judiciales, regulando su procedencia, su plazo de duración, su publicidad a fin de que los consumidores afectados o las Asociaciones de Consumidores puedan efectuar observaciones y sugerir ajustes en las soluciones propuestas, y sus efectos en el caso en que se arribe a un acuerdo que solucione el conflicto. Sin embargo no hay modificaciones a los procesos de juicios colectivos.",El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es parcialmente coherente con la promesa realizada,
48,Economía y Comercio,Creación de una Coordinación Institucional en materia de protección a los consumidores,"Para una mejor coordinación institucional, estableceremos en la Ley de Protección de los Derechos de los Consumidores un Sistema Integrado cuya coordinación técnica corresponderá al SERNAC, y que considerará la creación de un Consejo en el que participarán representantes de agencias públicas reguladoras y fiscalizadoras",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa,
49,Economía y Comercio,Establecimiento de la dedicación preferente o exclusiva de ministros del TDLC,"Cambiaremos el régimen de los ministros del Tribunal de la Libre Competencia (TDLC), hacia uno de dedicación preferente o exclusiva, estableciendo remuneraciones acordes y fijando una compensación para cuando los ministros cesen en el cargo",70%,4,,,9950-03,"Modifica el decreto con fuerza de ley N° 1, de 2004, del Ministerio de Economía, Fomento y Reconstrucción, que Fija el texto refundido, coordinado y sistematizado del decreto ley N° 211, de 1973, que Fija normas para la defensa de la libre competencia.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=10362&prmBoletin=9950-03,,,,1,,,,,,Segundo Tramite,"0,7",2,14,5,21,,,,1,4,,"La iniciativa propone establecer un régimen de dedicación exclusiva para los integrantes titulares del Tribunal. En consecuencia, los ministros no podrán prestar servicios de ningún tipo a personas naturales o jurídicas, o ejercer en cualquier forma aquellas actividades propias del título o calidad profesional que poseen.",El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada,
50,Economía y Comercio,Sanciones en casos que atenten contra la libre competencia,"Sanciones en temas contenciosos. Cambiaremos el tope máximo de las sanciones por porcentaje de ventas obtenidas; introduciremos una sanción adicional para personas involucradas de inhabilitación para directorios, organismos públicos, asociaciones gremiales y colegios profesionales y una sanción adicional para empresas involucradas, excluyéndolas de participar en licitaciones del Estado",70%,3,,,9950-03,"Modifica el decreto con fuerza de ley N° 1, de 2004, del Ministerio de Economía, Fomento y Reconstrucción, que Fija el texto refundido, coordinado y sistematizado del decreto ley N° 211, de 1973, que Fija normas para la defensa de la libre competencia.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=10362&prmBoletin=9950-03,,,,1,,,,,,Segundo Tramite,"0,7",2,14,6,22,,,1,,3,,"El proyecto cambia el tope máximo de las sanciones por el doble del beneficio ecónomico reportado por la infracción, o hasta por el 30% de las ventas del infractor correspondientes a la línea de productos y, o servicios asociada a la infracción durante el período por el cual ésta se haya extendido; se introduce las limitaciones para los involucrados sobre la prohibición de contratacion en los organismos centralizados y descentralidos, organismos, empresas o servicios que el estado efectúe aportes, congreso y poder judicial durante 5 años. No existe sanción adicional para las empresas involucradas para evitar su participación en las licitaciones del Estado.",El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es parcialmente coherente con la promesa realizada,
51,Economía y Comercio,Reforzamiento de legislación anti colusión,"Reforzamiento de normas contra colusión. Evaluaremos la inclusión de un tipo penal explícito para carteles más gravosos para los mercados, que sancione los acuerdos entre competidores que les confieran poder de mercado",70%,4,,,9950-03,"Modifica el decreto con fuerza de ley N° 1, de 2004, del Ministerio de Economía, Fomento y Reconstrucción, que Fija el texto refundido, coordinado y sistematizado del decreto ley N° 211, de 1973, que Fija normas para la defensa de la libre competencia.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=10362&prmBoletin=9950-03,,,,1,,,,,,Segundo Tramite,"0,7",2,14,6,22,,,,1,4,,"Efectivamente se refuerzan las normas contra la colusión, además de asignar una pena para los carletes más gravosos, incluyendo pena de reclusión  mayor en su grado minimo para quienes se agrupen para lograr un mayor poder de mercado.",El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada,
52,Economía y Comercio,Introducción de normas sobre operaciones de concentración,"Introduciremos en la legislación normas sobre control de operaciones de concentración, explicitando la figura de disminución sustancial de la libre competencia",70%,4,,,9950-03,"Modifica el decreto con fuerza de ley N° 1, de 2004, del Ministerio de Economía, Fomento y Reconstrucción, que Fija el texto refundido, coordinado y sistematizado del decreto ley N° 211, de 1973, que Fija normas para la defensa de la libre competencia.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=10362&prmBoletin=9950-03,,,,1,,,,,,Segundo Tramite,"0,7",2,14,6,22,,,,1,4,,"Se establece que la FNE debe realizar un control preventivo y obligatorio de operaciones de concentración, las que deberán ser desechadas si significan una disminución significativa de la competencia.",El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada,
53,Economía y Comercio,Fortalecimiento de la Fiscalía Nacional Económica,"Fortaleceremos las capacidades técnicas y profesionales de la FNE; estableceremos plazos acotados para sus investigaciones; la facultad para que emita fundadamente advertencias y para requerir información estadística a otros organismos del Estado y de evaluar aquellos mercados que presentan fallas persistentes o que sufren el impacto de regulaciones en la competencia, con el fin de dictar normas especiales cuando las fallas de mercado lo justifiquen y modificar aquellas normas que propician o permiten restricciones injustificadas al correcto funcionamiento competitivo",70%,3,,,9950-03,"Modifica el decreto con fuerza de ley N° 1, de 2004, del Ministerio de Economía, Fomento y Reconstrucción, que Fija el texto refundido, coordinado y sistematizado del decreto ley N° 211, de 1973, que Fija normas para la defensa de la libre competencia.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=10362&prmBoletin=9950-03,,,,1,,,,,,Segundo Tramite,"0,7",2,14,6,22,,,1,,3,,"FNE podrá recabar información tanto de particulares como de instituciones públicas. Además, podrá emitir advertencias a empresas en el contexto del control de operaciones de fusiones y concentraciones. Por otra parte, se contempla el aumento de los recursos humanos y financieros de la FNE. Sin embargo, no se establecen plazos más acotados de para las investigaciones, aunque sí se incorpora un estatuto de garantías para los investigados.",El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es parcialmente coherente con la promesa realizada,
