uid,area,titulo,promesa,avance_total,,boletin,titulo_proyecto,link,1° tramite,veto,insistencia,2°-3° tramite,comision_mixta,tribunal_constitucional,aprobacion_presidencial,promulgado,rechazado/retirado,nombre_avance,avance,simple,suma,inmediata,total_urgencias,marginal,parcial_minima,parcial_alta,total,escala_de_coherencia,justificacion_avance,justificacion_nota,ja_porque,jn_porque
11,Trabajo y Previsión Social,Mecanismo para mitigar lagunas en cotizaciones en caso de cesantía,"Además enviaremos un proyecto de ley para que, en caso de desempleo, el Fondo Solidario del Seguro de Cesantía aporte a las cotizaciones y mitigue las lagunas que, sabemos, son un problema central del sistema.",0%,,11372-13,"Crea el nuevo ahorro colectivo, aumenta la cobertura del Sistema de Pensiones y Fortalece el Pilar Solidario",https://www.camara.cl/pley/pley_detalle.aspx?prmID=11887&prmBoletin=11372-13 ,,,,,,,,,1,Rechazado Retirado,0,,,,0,,,,,,,,No se conocen proyectos de ley asociados a esta promesa,
12,Infancia y Juventud,"Apoyo permanente a niños, niñas y jóvenes","Y queremos que los apoyos a los más pequeños sean derechos permanentes y garantizados. Por eso está en trámite en este congreso la Ley que crea el Sistema de Garantías de los Derechos de la Niñez, así como el proyecto que crea la Subsecretaria de la Niñez y el Defensor del Niño, poniendo al día nuestra institucionalidad.",70%,,10315-18,Sistema de garantías de los derechos de la niñez,http://www.camara.cl/pley/pley_detalle.aspx?prmID=10729&prmBoletin=10315-18,,,,1,,,,,,Segundo Tramite,"0,7",5,27,1,33,,1,,,2,"Este proyecto tiene como una de sus principales falencias ser sólo un marco normativo, no contemplando ninguna estructura institucional sobre la que pueda articularse un verdadero sistema de protección de derechos. Carece de toda regulación sobre la forma en que se abordará la protección especial, si será administrativa o judicial; carece también de un efectivo derecho a defensa jurídica de los niños y niñas en el proceso, lo que convierte a este proyecto en un conjunto de declaraciones de principios que en absoluto mejorará la actual situación de indefensión en que se encuentran los niños/as (justificación proporcionada por Fundación Crecer con Justicia).",,El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es marginalmente coherente con la promesa realizada
13,Infancia y Juventud,División del SENAME en dos servicios: protección y reinserción,"Asumimos la dolorosa realidad de los niños y niñas en los centros tanto públicos como privados que atienden a los niños al cuidado del SENAME, con un plan de respuesta inmediata para mejorar las condiciones de infraestructura y atención. Y enviamos dos proyectos de ley que crean dos nuevos servicios, uno para la protección de los derechos de menores vulnerados y otro para proteger los derechos de menores infractores de ley.",40%,,11174-07,"Crea el Servicio Nacional de Reinserción Social Juvenil e introduce modificaciones a la ley N° 20.084, sobre responsabilidad penal de adolescentes, y a otras normas que indica",http://www.camara.cl/pley/pley_detalle.aspx?prmID=11687&prmBoletin=11174-07,1,,,,,,,,,Primer Tramite,"0,4",,,,0,,,,1,4,"Es un excelente proyecto. pero hay que mejorar algunos puntos. En lo medular es un proyecto serio, fundado y bien hecho (justificación proporcionada por Corporación Opción).",,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
14,Cultura,Creación del Ministerio de la Cultura y las Artes,"Hablo de una institucionalidad a la altura de los tiempos en estas áreas, como el Ministerio de la Cultura y de las Artes, que se tramita en este Congreso, y que sé que veremos concretarse durante este Gobierno.",100%,,8938-24,Crea el Ministerio de Cultura,http://www.camara.cl/pley/pley_detalle.aspx?prmID=9344&prmBoletin=8938-24,,,,,,,,1,,Promulgado,1,16,11,,27,,,,1,4,"El Ministerio de las Culturas, las Artes y el Patrimonio y del Servicio Nacional del Patrimonio Cultural deben fomentar el respeto a la diversidad cultural, la democracia cultural y participación ciudadana, el reconocimiento a las identidades territoriales, el reconocimiento cultural de los pueblos indígenas, el patrimonio cultural como bien público, el respeto a libertad de creación y la valoración social de creadores y cultores, el respeto a los derechos de creadores y cultores, se constituyen en esenciales para una gobernanza democrática en la gestión pública cultural.",,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
15,Economía y Comercio,Modificaciones a la Ley de Pesca,"Por cierto, sé que necesitamos una legislación pesquera moderna, que resguarde los intereses de todos los chilenos. Por eso, durante el tercer trimestre enviaré a este Congreso una propuesta de modificaciones sustantivas a la Ley de Pesca.",0%,,,,,,,,,,,,,,,0,,,,0,,,,,,,,No se conocen proyectos de ley asociados a esta promesa,
16,Medio Ambiente,Creación del Servicio Nacional Forestal,"Y para contar con una mejor institucionalidad ambiental, he enviado a este Congreso, con suma urgencia, un proyecto de Ley que crea un Servicio Nacional Forestal. Ello implicará normativas para disminuir riesgos de incendios y enfrentar de mejor manera emergencias de este tipo. También hemos propuesto la creación de un Servicio Biodiversidad y Áreas Protegidas, que es clave para nuestro desarrollo sustentable. Este Congreso tiene en sus manos ambas decisiones y les pido su apoyo para aprobarlos cuanto antes.",70%,,11175-01,Crea el Servicio Nacional Forestal,http://www.camara.cl/pley/pley_detalle.aspx?prmID=11690&prmBoletin=11175-01,,,,1,,,,,,Segundo Tramite,"0,7",,2,,2,,,,,1,,,El proyecto de ley asociado se encuentra en segundo trámite constitucional,No se conocen proyectos de ley asociados a esta promesa
17,Estado,Creación del Servicio Nacional de Gestión de Riesgo y Emergencia,"Desde el Estado, estamos garantizando una mejor institucionalidad. Pusimos suma urgencia tanto a la ley que crea un Servicio Nacional de Gestión de Riesgo y Emergencia, en reemplazo de la actual ONEMI.",,,,,,,,,,,,,,,,,,,,0,,,,,,,,No se conocen proyectos de ley asociados a esta promesa,
18,Pueblos Indígenas,Reconocimiento Constitucional a Pueblos Indígenas,"Primero, la Participación, el reconocimiento y nuevas formas de reparación de los pueblos indígenas. Quiero anunciarles que incluiremos el Reconocimiento Constitucional y la Participación Política Indígena en el proyecto de nueva Constitución.",0%,,,,,,,,,,,,,,,0,,,,0,,,,,,,,No se conocen proyectos de ley asociados a esta promesa,
19,Economia y Comercio,Desarrollo productivo regional y territorial,"Segundo, el Desarrollo Productivo Regional y Territorial, y para que sea un esfuerzo permanente del Estado presentaremos este ámbito como proyecto de ley. Tercero, ampliaremos el programa de reparación de todas las víctimas de la violencia en la región.",0%,,,,,,,,,,,,,,,0,,,,0,,,,,,,,No se conocen proyectos de ley asociados a esta promesa,
20,Democracia,Elección democrática de Intendentes,Actualmente se discute en el Congreso la oportunidad y la forma en que tendrá lugar la primera elección democrática de estas autoridades. Esperamos que este Congreso pueda lograr un acuerdo que permita aprobar esta importante ley a la brevedad.,100%,100%,9834-06,Dispone la elección popular del órgano ejecutivo del gobierno regional.,http://www.camara.cl/pley/pley_detalle.aspx?prmID=10247&prmBoletin=9834-06,,,,,,,,1,,Promulgado,1,8,6,10,24,,1,,,2,"Pretende modificar la constitución estableciendo que el cargo de Intendente se elige por votación popular y dura 4 años con posibilidad de reelección inmediata. Sin embargo, para que este proyecto sea efectivo, es necesario contar con una Ley Orgánica que regule la elección, la que aún no a sido enviada al congreso",,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es marginalmente coherente con la promesa realizada
20,Democracia,Elección democrática de Intendentes,,100%,100%,10443-06,"Modifica la Constitución Política con el objeto de promover una descentralización efectiva, proponiendo el reemplazo del Intendente por un Gobernador Regional elegido directamente, y del actual Gobernador por un Delegado Presidencial en cada provincia.",http://www.camara.cl/pley/pley_detalle.aspx?prmID=10863&prmBoletin=10443-06,,,,,,,,1,,Promulgado,1,3,6,10,19,,1,,,2,"Establece que el gobierno de cada región reside en un Gobernador Regional, que será elegido en votación directa. Sin embargo, para que este proyecto sea efectivo, es necesario contar con una Ley Orgánica que regule la elección de Gobernadores Regionales, la que aún no a sido enviada al congreso",,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es marginalmente coherente con la promesa realizada
20,Democracia,Elección democrática de Intendentes,,,100%,7963-06,Relativo al fortalecimiento de la regionalización del país.,http://www.camara.cl/pley/pley_detalle.aspx?prmID=8381&prmBoletin=7963-06,,,,,,,,1,,Promulgado,1,19,31,4,54,,,,1,4,"Establece el procedimiento de transferencia de funciones y atribuciones es de carácter administrativo y permite que una o más competencias dejen de ser ejercidas por un ministerio o servicio público, para ser desempeñadas por uno o más gobiernos regionales, sin necesidad de modificaciones orgánicas.",,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
21,Justicia y DDHH,Matrimonio igualitario,"Y durante el segundo semestre ingresaremos a este Honorable Congreso un proyecto de Ley de Matrimonio Igualitario, porque no puede ser que los prejuicios añejos sean más fuertes que el amor.",40%,,11422-07,"Modifica diversos cuerpos legales para regular, en igualdad de condiciones, el matrimonio de parejas del mismo sexo",https://www.camara.cl/pley/pley_detalle.aspx?prmID=11934&prmBoletin=11422-07,1,,,,,,,,,Primer Tramite,"0,4",,,,0,,,,,,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,
22,Justicia y DDHH,Despenalización interrupción del embarazo en tres causales,"Haremos también todos los esfuerzos para promulgar en este Gobierno la iniciativa que este Congreso tramita y que por fin despenaliza la interrupción del embarazo en las causales de inviabilidad fetal, riesgo vital de la madre y violación. Las mujeres de Chile merecen este mínimo reconocimiento a su capacidad de decidir.",100%,,9895-11,Regula la despenalización de la interrupción voluntaria del embarazo en tres causales,http://www.camara.cl/pley/pley_detalle.aspx?prmID=10315&prmBoletin=9895-11,,,,,,,,1,,Promulgado,1,16,3,,19,,,,1,4,"Se despenaliza el aborto en caso de peligro de la vida de la mujer embarazada, embrión o feto con alteración estructural congénita o genética incompatible con la vida extrauterina y embarazo producto de una violación",,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
23,Democracia,Nueva Constitución,"El nuevo texto constitucional, que enviaré a este Congreso antes de fin de año, incorporará las bases ciudadanas y también los resultados del Proceso Constituyente Indígena, con lo cual podremos recoger toda la diversidad de voces que habitan nuestra tierra.",40%,,11617-07,Para modificar la Constitución Política de la República.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=12132&prmBoletin=11617-07,1,,,,,,,,,Primer Tramite,"0,4",,,,0,,,,,,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,
24,Justicia y DDHH,Nueva Ley Migratoria,"Ese Censo nos mostrará que Chile es un país más diverso, que recibe crecientemente el influjo enriquecedor de la migración, muchos de los cuales fueron censistas voluntarios. Chile tiene que actualizar su legislación al respecto. Por eso, el segundo semestre enviaremos una ley que adapte la legislación a la nueva realidad migratoria.",40%,,11395-06,Establece nueva ley de migraciones,https://www.camara.cl/pley/pley_detalle.aspx?prmID=11905&prmBoletin=11395-06,1,,,,,,,,,Primer Tramite,"0,4",5,1,,6,,,,,,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,
