uid,area,titulo,promesa,avance_total,boletin,titulo_proyecto,link,1° tramite,veto,insistencia,2°-3° tramite,comision_mixta,tribunal_constitucional,aprobacion_presidencial,promulgado,rechazado/retirado,nombre_avance,avance,simple,suma,inmediata,total_urgencias,ja_porque
11,Economía y Comercio,Regular los mercados de economía colaborativa,Regular los mercados de economía colaborativa para facilitar la adecuada operación de sus plataformas.,40%,11934-15,Regula a las aplicaciones de transporte remunerado de pasajeros y los servicios que a través de ellas se presten,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11934-15,1,,,,,,,,,Primer Tramite,"0,4",1,9,0,10,El proyecto de ley asociado se encuentra en primer trámite constitucional
12,Economía y Comercio,Hacer más eficaz al SERNAC,"Hacer más eficaz la acción del SERNAC a favor de los consumidores, para que éstos puedan ejercer sus derechos, y asegurar la debida atención de los usuarios del sector público ampliando su rol a esta materia. Mejorar sus competencias y capacidades, con criterio conocidos, transparentes y objetivos.",100%,9369-03,"Modifica ley N° 19.496, sobre Protección de los Derechos de los Consumidores.",http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9369-03,,,,,,,,1,,Promulgado,1,,,,0,El proyecto de ley asociado se encuentra publicado y es Ley de la República.
13,Economía y Comercio,Adaptar los contratos indefinidos,"Crear un mecanismo para adaptar los contratos indefinidos a las condiciones cambiantes, sin costos excesivos y con respeto a los derechos del consumidor",40%,12409-03,Proyecto de Ley que Establece Medidas para Incentivar la protección de los derechos de los consumidores,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=12409-03,1,,,,,,,,,Primer Tramite,"0,4",,,,0,El proyecto de ley asociado se encuentra en primer trámite constitucional
14,Trabajo y Previsión Social,Modernizar la legislación en materia de jornada laboral,"Modernizar la legislación en materia de jornada laboral, redefiniéndola en base a “hora” y permitiendo que el máximo semanal de 45 horas pueda ser distribuido en 4 días por acuerdo individual o colectivo.",0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
15,Trabajo y Previsión Social,Mayor libertad para pactar jornada y horas extraordinarias.,"Permitir que los trabajadores pacten con mayor libertad materias de jornada y horas extraordinarias, estableciendo límites máximos predefinidos para prevenir abusos.",0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
16,Trabajo y Previsión Social,Modernizar la jornada parcial,"Modernizar la jornada parcial y permitir que las partes pacten bolsas de permisos para fines de cuidado familiar o actividades escolares, a ser compensados en los 30 días siguientes.",0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
17,Trabajo y Previsión Social,Regular el trabajo a distancia,Crear un contrato especial de trabajo a distancia que regule sus características.,70%,12008-13,Modifica el Código del Trabajo en materia de trabajo a distancia,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=12008-13,,,,1,,,,,,Segundo Tramite,"0,7",1,7,0,8,El proyecto de ley asociado se encuentra en segundo trámite constitucional
18,Trabajo y Previsión Social,Ampliar progresivamente el feriado anual,"Ampliar progresivamente el feriado anual de 15 a 20 días hábiles, a ser compensados con la reducción de 3 feriados.",0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
19,Trabajo y Previsión Social,Posibilitar los pactos individuales de adaptabilidad laboral.,"Posibilitar, cuando sea pertinente y resguardando los derechos básicos de los trabajadores, los pactos individuales de adaptabilidad laboral.",0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
20,Trabajo y Previsión Social,Procedimientos de negociación colectiva para grupos no sindicalizados,Especificar procedimientos de negociación colectiva para grupos de negociadores fuera de los sindicatos.,0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
21,Trabajo y Previsión Social,Mejorar la definición legal de servicios mínimos en caso de huelga,"Mejorar la definición legal de servicios mínimos en caso de huelga, a fin de garantizar el derecho al trabajo de personas no involucradas en la huelga.",0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
22,Trabajo y Previsión Social,Derecho a sala cuna universal ,"Establecer el derecho a sala cuna universal para todas las madres trabajadoras con hijos menores de 2 años y padres trabajadores que tengan la tuición del hijo, a fin de favorecer el debido cuidado de los niños y la participación laboral de la mujer.",40%,12026-13,"Crea el beneficio social de educación en el nivel de sala cuna, financiado por un fondo solidario.",http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=12026-13,1,,,,,,,,,Primer Tramite,"0,4",1,7,0,8,El proyecto de ley asociado se encuentra en primer trámite constitucional
23,Trabajo y Previsión Social,Sistema de apoyo para los trabajadores por cuenta propia,"Crear un sistema de apoyo para los trabajadores por cuenta propia, que les permita tener oportunidades para acceder a mejores trabajos y mejores salarios.",0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
24,Trabajo y Previsión Social,Modernizar la Dirección del Trabajo,"Modernizar la Dirección del Trabajo, estableciendo una clara división en los roles de fiscalización, multas, normativa, y conciliaciones y mediaciones, incorporando tecnologías modernas y reformulando los procesos de gestión estratégicos.",0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
25,Trabajo y Previsión Social,Modificar la franquicia tributaria SENCE,"Mejorar la oferta de programas y modificar la franquicia tributaria SENCE, de forma que dependa de la calidad y resultado de las capacitaciones y permita el acceso a los trabajadores por cuenta propia y mini pymes. Ampliar su cobertura a los adultos mayores y extender su aplicación a carreras de 2 años en Centros de Formación Técnica e Institutos Profesionales acreditados",0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
26,Agricultura,Restablecer la certeza jurídica de los derechos de agua,"Restablecer la certeza jurídica de la propiedad de los derechos de agua, de cualquier tipo, nuevos o antiguos",70%,7543-12,Reforma el Código de Aguas,"http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=7543-12
",,,,1,,,,,,Segundo Tramite,"0,7",,,,0,El proyecto de ley asociado se encuentra en segundo trámite constitucional
27,Trabajo y Previsión Social,Incorporar medidas al Estatuto del Trabajador Agrícola,Incorporar medidas al Estatuto del Trabajador Agrícola que mejoren las condiciones laborales y ajusten las necesidades de trabajo a cada rubro,40%,11636-13,Modifica el Código del Trabajo estableciendo un Estatuto de temporero y la actividad agrícola de temporada y perfecciona las regulaciones del sector agrícola que indica,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11636-13,1,,,,,,,,,Primer Tramite,"0,4",0,0,0,0,El proyecto de ley asociado se encuentra en primer trámite constitucional
28,Agricultura,Impulsar una ley larga de puertos,"Impulsar una ley larga de puertos, que considere al sector alimentos como rubros sensibles,de forma de brindar seguridad en las exportaciones.",0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
29,Agricultura,Perfeccionar la ley de Muestra y Contramuestras y mejorar los sistemas de información a los agricultores.,Perfeccionar la ley de Muestra y Contramuestras y mejorar los sistemas de información a los agricultores.,0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
30,Agricultura,"Nuevo Ministerio de Agricultura, Alimentos y Recursos Naturales","Impulsar una modernización integral de la institucionalidad del sector, avanzando hacia un nuevo Ministerio de Agricultura, Alimentos y Recursos Naturales y la institucionalización de la Agencia de Control de Inocuidad de Alimentos.",0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
31,Medio Ambiente,Ley de Prevención y Control de Incendios Forestales,Impulsar la Ley de Prevención y Control de Incendios Forestales e implementar un Plan de Reforestación para las hectáreas afectadas por los incendios del verano del 2017.,0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
32,Agricultura,Creación del nuevo Servicio Forestal ,Modernizar Conaf mediante la creación del nuevo Servicio Forestal como ente público.,70%,11175-01,Crea el Servicio Nacional Forestal y modifica la Ley General de Urbanismo y Construcciones,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11175-01,,,,1,,,,,,Segundo Tramite,"0,7",3,1,0,4,El proyecto de ley asociado se encuentra en segundo trámite constitucional
33,Medio Ambiente,Ley que apoye la creación de bosques para fines ambientales y madereros.,Impulsar un proyecto de ley que apoye a pequeños y medianos propietarios en la creación de bosques para fines ambientales y madereros.,0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
34,Minería,Incentivar la exploración minera,Incentivar la exploración minera modernizando la regulación vigente.,0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
35,Minería,Revisión integral de las normas de cierre de faenas e instalaciones,"Hacer una revisión integral de las normas de cierre de faenas e instalaciones que flexibilice los instrumentos de garantía, modifique el cálculo de vida útil y corrija vacíos legales e interpretativos.",40%,12324-08,"Modifica la ley N°20.551, que regula el cierre de las faenas e instalaciones mineras",http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=12324-08,1,,,,,,,,,Primer Tramite,"0,4",,,,0,El proyecto de ley asociado se encuentra en primer trámite constitucional
36,Minería,Simplificar permisos para proyectos mineros,Actualizar el levantamiento de los permisos que requiere un proyecto minero a fin de simplificarlos y eliminar duplicidades de competencias entre servicio,0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
37,Medio Ambiente,Reducir la discrecionalidad política en la revisión de proyectos de inversión,Reducir la discrecionalidad política en la revisión de proyectos de inversión y crear un procedimiento reglado y vinculante para consultas de pertinencia ambiental,70%,11747-03,"Perfecciona los textos legales que indica, para promover la inversión",http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11747-03,,,,1,,,,,,Segundo Tramite,"0,7",6,5,1,12,El proyecto de ley asociado se encuentra en segundo trámite constitucional
38,Minería,Crear mecanismos de diálogo entre empresas y comunidades,"Crear mecanismos de diálogo y solución temprana de conflictos entre empresas y comunidades, que mejore la confianza y dinamice los proyectos mineros y energéticos.",40%,11952-12,Moderniza el Sistema de Evaluación de Impacto Ambiental,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11952-12,1,,,,,,,,,Primer Tramite,"0,4",,,,0,El proyecto de ley asociado se encuentra en primer trámite constitucional
39,Minería,Facilitar la incorporación de la mujer al mundo laboral minero,Desarrollar cambios normativos que faciliten la incorporación de la mujer al mundo laboral minero,0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
40,Minería,Modernizar el gobierno corporativo de ENAMI,Modernizar el gobierno corporativo de ENAMI siguiendo los más altos estándares internacionales en la materia,0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
41,Minería,Reforzar el rol de COCHILCO y fortalecer al Ministerio de Minería.,Reforzar el rol de COCHILCO y fortalecer al Ministerio de Minería.,0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
42,Minería,Profundizar la autonomía de Codelco,"Profundizar la autonomía de Codelco, dándole mayor independencia a su gobierno corporativo respecto de los cambios de gobierno y dotándolo de mayores herramientas para gestionar con eficiencia la actual diversidad y complejidad de la Corporación",0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
43,Economía y Comercio,Fortalecer los derechos de pesca,Fortalecer los derechos de pesca para el sector artesanal,0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
44,Economía y Comercio,Facilitar la transferencia de los derechos de pesca,Facilitar la transferencia de los derechos de pesca,40%,11704-21,"Modifica la Ley General de Pesca y Acuicultura, en lo relativo a las licencias transables de pesca e incorpora normas para prevenir la pesca ilegal.",http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11704-21,1,,,,,,,,,Primer Tramite,"0,4",2,3,,5,El proyecto de ley asociado se encuentra en primer trámite constitucional
45,Economía y Comercio,Simplificar las figuras de reemplazo de inscripción de pescadores y sustitución de embarcaciones artesanales,Simplificar las figuras de reemplazo de inscripción de pescadores y sustitución de embarcaciones artesanales,0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
46,Economía y Comercio,Dar fortaleza jurídica y transparencia a las inscripciones en los Registros Pesqueros Artesanales.,Dar fortaleza jurídica y transparencia a las inscripciones en los Registros Pesqueros Artesanales. ,0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
47,Economía y Comercio,Ampliar el porcentaje de licitación de la cuota pesquera y revisar la renovación indefinida de las cuotas asignadas sin licitación,"Evaluar y perfeccionar el marco jurídico del sector industrial, ampliando el porcentaje de licitación de la cuota pesquera y revisando la condición de renovación indefinida de la titularidad de las cuotas asignadas sin licitación, respetando los derechos ya asignados. ",40%,11704-21,"Modifica la Ley General de Pesca y Acuicultura, en lo relativo a las licencias transables de pesca e incorpora normas para prevenir la pesca ilegal.",http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11704-21,1,,,,,,,,,Primer Tramite,"0,4",,,,0,El proyecto de ley asociado se encuentra en primer trámite constitucional
48,Economía y Comercio,Implementar regulación que promueva la sustentabilidad y competitividad del sector pesca,"Implementar regulación que promueva la sustentabilidad y competitividad del sector (pesca), generando certeza sobre el potencial productivo de las empresas, condicionando la vigencia de los plazos de caducidad a las resoluciones de relocalizaciones y permitiendo agrupar la producción y traspasar la capacidad productiva.",70%,11317-21,Amplía el procedimiento de relocalización a concesiones de acuicultura que indica y establece permisos especiales de colecta de semillas,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11317-21,,,,1,,,,,,Segundo Tramite,"0,7",8,,,8,El proyecto de ley asociado se encuentra en segundo trámite constitucional
49,Economía y Comercio,Modernizar  Sernapesca,"Fortalecer la institucionalidad sectorial, modernizando la subsecretaria y mejorando la capacidad fiscalizadora de Sernapesca. ",100%,10482-21,Moderniza y fortalece el ejercicio de la función pública del Servicio Nacional de Pesca,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10482-21,,,,,,,,1,,Promulgado,1,4,1,0,5,El proyecto de ley asociado se encuentra publicado y es Ley de la República.
50,Energía,Fortalecer la institucionalidad del sector energía,Fortalecer la institucionalidad del sector (energía) potenciando la autonomía de los entes técnicos y eliminando la discrecionalidad en la toma de decisiones,0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
51,Energía,Perfeccionar la Ley General de Servicios Eléctricos,"Perfeccionar la Ley General de Servicios Eléctricos , de forma de simplificar la modificación de líneas existentes, agilizar los procedimientos para obtener concesiones y facilitar el acceso a los predios para efectos de la construcción y mantenimiento de la infraestructura.",0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
52,Energía,Modernizar la regulación de la distribución de Energía ,"Revisar y modernizar la regulación del segmento distribución, con el objeto de lograr mejores niveles de calidad y seguridad de suministro (Energía). Para ello se contempla: o Elevar los estándares de calidad y seguridad del servicio de distribución creando mecanismos de prevención con un adecuado sistema de seguimiento, fiscalización y comunicación hacia los usuarios finales.",0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
53,Energía,Modificar la regulación para incorporar nuevas tecnologias ,"Modificar la actual regulación para lograr una adecuada incorporación de nuevas tecnologías tales como redes inteligentes, sistemas de almacenamiento, gestión de demanda, generación distribuida y comercialización",100%,8999-08,Incentiva el desarrollo de generadoras residenciales y hacer aplicable sus disposiciones a todos los sistemas eléctricos del país,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=8999-08,,,,,,,,1,,Promulgado,1,,,,0,El proyecto de ley asociado se encuentra publicado y es Ley de la República.
54,Energía,Reactivar y actualizar el Plan de Eficiencia Energética 2020,"Reactivar y actualizar el Plan de Eficiencia Energética 2020, incluyendo el fomento de los sistemas de gestión y cogeneración de energía, el establecimiento de estándares mínimos, la ampliación del etiquetado a otros segmentos domésticos e industriales, la modernización de la normativa de construcción, entre otras medidas.",40%,12058-08,Sobre eficiencia energética,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=12058-08,1,,,,,,,,,Primer Tramite,"0,4",3,3,,6,El proyecto de ley asociado se encuentra en primer trámite constitucional
55,Obras Públicas,Desarrollar nuevas fuentes de abastecimiento,"Desarrollar nuevas fuentes de abastecimiento, incorporando en la Ley de Concesiones mecanismos para el desarrollo de obras de desalinización, trasvases y sistema de infiltración de agua",0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
56,Medio Ambiente,Crear el Servicio de Biodiversidad y Áreas Protegidas,"Actualizar y modernizar el modelo de administración de Parques Nacionales, avanzando en la creación del Servicio de Biodiversidad y Áreas Protegidas.",40%,9404-12,Crea el Servicio de Biodiversidad y Áreas Protegidas y el Sistema Nacional de Áreas Protegidas.,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9404-12,1,,,,,,,,,Primer Tramite,"0,4",3,2,0,5,El proyecto de ley asociado se encuentra en primer trámite constitucional
57,Economía y Comercio,Reformular la estructura organizacional de la promoción turística,Reformular la estructura organizacional de la promoción turística de Chile mediante una alianza público-privada eficiente y concentrar todas las agencias públicas de promoción bajo una misma institucionalidad.,70%,9170-23,"Modifica la ley N° 20.423, del Sistema Institucional para el Desarrollo del Turismo.",http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9170-23,,,,1,,,,,,Segundo Tramite,"0,7",,,,0,El proyecto de ley asociado se encuentra en segundo trámite constitucional
58,Economía y Comercio,Revisar las tasas aeroportuarias y la recalada de cruceros,Revisar las tasas aeroportuarias y la regulación de la recalada de cruceros.,100%,9656-15,"	Modifica el artículo 3° del decreto ley N° 3.059, de 1979, para autorizar el cabotaje de pasajeros a cruceros de bandera extranjera, en los casos que señala",http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9656-15,,,,,,,,1,,Promulgado,1,,,,0,El proyecto de ley asociado se encuentra publicado y es Ley de la República.
59,Economía y Comercio,Incentivos tributarios a la inversión turística en zonas aisladas,Activar incentivos tributarios a la inversión turística en zonas aisladas,0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
60,Transporte y Telecomunicaciones,Simplificar los permisos municipales,Eliminar barreras y simplificar la obtención de permisos municipales para poder acceder a bienes públicos que permitan desplegar fibra óptica y construir antenas para la telefonía móvil,0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
61,Infancia y Juventud,Subvención para la educación parvularia,"Crear una subvención regular y preferencial que permita a todas las familias elegir un jardín infantil de calidad para sus hijos, a partir de los 2 años de edad. ",40%,12436-04,Establece un Sistema de Subvenciones para los niveles medios de la educación parvularia,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=12436-04,1,,,,,,,,,Primer Tramite,"0,4",,,,0,El proyecto de ley asociado se encuentra en primer trámite constitucional
62,Infancia y Juventud,Subvención para niños con necesidades especiales,Crear una subvención diferenciada para niños con necesidades especiales.,0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
63,Educación,Permitir mayor autonomía y diversidad de proyectos educativos,"Perfeccionar el marco regulatorio para permitir mayor autonomía y diversidad de proyectos educativos, junto con una adecuada red de fiscalización y apoyo. ",0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
64,Educación,Restablecer criterios de mérito y justicia en la Admisión Escolar,"Restablecer el mérito con criterios de inclusión en el acceso a los
liceos emblemáticos y proyectos especiales de excelencia, por razones
académicas, artísticas y deportivas. En el resto de los establecimientos
permitir criterios de admisión de hasta un 30% de la matrícula en
favor de alumnos vulnerables, migrantes o de criterios adicionales de
priorización acordes a los respectivos proyectos educativos, los cuales
tendrán que ser siempre objetivos, transparentes y no podrán significar
discriminaciones arbitrarias.",40%,12377-04,Perfecciona el Sistema de Admisión Escolar incorporando criterios de mérito y justicia,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=12377-04,1,,,,,,,,,Primer Tramite,"0,4",,,,0,El proyecto de ley asociado se encuentra en primer trámite constitucional
65,Educación,Facilitar las donaciones voluntarias de las familias y la sociedad civil.,"Facilitar los aportes voluntarios de las familias y la sociedad civil, eliminando las restricciones que actualmente impone la ley, como por ejemplo, el descuento a las donaciones o las restricciones en el uso de aportes no periódicos. ",0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
66,Educación,Perfeccionar el Programa de Integración Escolar,"Perfeccionar el Programa de Integración Escolar, incluyendo el envío de una ley sobre necesidades educativas especiales y homologación curricular. ",0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
67,Educación,Reforzar el Sistema de Aseguramiento de la Calidad,"Reforzar el Sistema de Aseguramiento de la Calidad, conjugando la autorregulación de los procesos internos con la rendición de cuentas sobre los estándares de calidad y estableciendo la acreditación institucional como condición para acceder a fondos públicos",0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
68,Educación,Perfeccionar la conformación del Consejo Nacional de Acreditación,Se perfeccionará la conformación del Consejo Nacional de Acreditación y ésta podrá asociarse a áreas disciplinarias.,100%,10783-04,Sobre Educación Superior,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10783-04,,,,,,,,1,,Promulgado,1,,,,0,El proyecto de ley asociado se encuentra publicado y es Ley de la República.
69,Educación,Sistema Solidario de Acceso a la Educación Superior,"Crear un Sistema Solidario de Acceso a la Educación Superior que evite que las razones económicas impidan estudiar, termine con las discriminaciones arbitrarias, asegure la igualdad de trato y resguarde la sustentabilidad y autonomía de las instituciones de educación.",40%,11822-04,Crea un nuevo sistema de financiamiento solidario para estudiantes de la educación superior.,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11822-04,1,,,,,,,,,Primer Tramite,"0,4",8,0,0,8,El proyecto de ley asociado se encuentra en primer trámite constitucional
70,Educación,Nuevo Sistema Único de Créditos para los estudiantes de instituciones acreditadas,"Un nuevo Sistema Único de Créditos para los estudiantes de instituciones acreditadas. Este crédito sustituirá al Crédito con Aval del Estado y al Fondo Solidario del Crédito Universitario por un sistema administrado por el Estado, sin intervención de la banca, con una tasa de interés del 2% real anual. La cuota a pagar será contingente al ingreso y progresiva, pero en ningún caso excederá el 10% de las remuneraciones. La deuda se pagará sólo cuando el alumno haya egresado y tenga ingresos, no se paga si no se tienen ingresos o estos son demasiado bajos, condonándose después de 15 años de pago. Este sistema tendrá requisitos de calidad para las instituciones y de mérito para los estudiantes.",40%,11616-04,Crea el Crédito Estatal para la Educación Superior,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11616-04,1,,,,,,,,,Primer Tramite,"0,4",0,0,0,0,El proyecto de ley asociado se encuentra en primer trámite constitucional
71,Educación,"Crear el Ministerio de Educación Superior, Ciencia, Tecnología e Innovación y la Superintendencia de Educación Superior","Crear el Ministerio de Educación Superior, Ciencia, Tecnología e Innovación y la Superintendencia de Educación Superior, que fiscalice el cumplimiento de la legislación, asegure que las instituciones mantengan los requisitos de su reconocimiento oficial, sean viables y tengan un sistema de información transparente que impida la publicidad engañosa.",100%,10783-04,Sobre Educación Superior,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=10783-04,,,,,,,,1,,Promulgado,1,0,0,0,0,El proyecto de ley asociado se encuentra publicado y es Ley de la República.
