uid,area,titulo,promesa,avance_total,coherencia,,,boletin,titulo_proyecto,link,1° tramite,veto,insistencia,2°-3° tramite,comision_mixta,tribunal_constitucional,aprobacion_presidencial,promulgado,rechazado/retirado,nombre_avance,avance,simple,suma,inmediata,total_urgencias,marginal,parcial_minima,parcial_alta,total,escala_de_coherencia,justificacion_avance,Justificación_nota,ja_porque,jn_porque
11,Democracia,Ley que regula el lobby,(...) regular el lobby,90%,4,,,6189-06,Establece normas sobre la actividad de lobby.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=6577&prmBoletin=6189-06,,,,,,1,,,,Tribunal Constitucional,"0,9",10,43,3,56,,,,1,4,La promesa era de regular el lobby y el proyecto establece una normativa para este,,El proyecto de ley se encuentra en proceso de ser promulgado,El proyecto de ley es totalmente coherente con la promesa realizada
12,Democracia,Voto chileno en el extranjero,"Seguiremos impulsando el voto de los chilenos en el extranjero, en las elecciones presidenciales, que mantengan un vínculo con Chile, el que se acreditará mediante su inscripción previa en alguna de las Embajadas o Consultados Chilenos",55%,4,70%,4,9069-07,Regula el ejercicio del sufragio de los ciudadanos que se encuentran fuera del país.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=9474&prmBoletin=9069-07,,,,1,,,,,,Segundo Tramite,"0,7",,,,0,,,,1,4,"El proyecto contempla el voto de los chilenos en el extranjero y su vínculo con Chile, expresado en la previa inscripción en embajadas o consulados chilenos",,"La promesa cuenta con 2 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos",La promesa cuenta con 2 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
12,Democracia,Voto chileno en el extranjero,,,,40%,4,7335-07,Sobre voto de chilenos en el extranjero,http://master.congresoabierto.cl/proyectos/7335-07,,,1,,,,,,,Insistencia,"0,4",4,1,,5,,,,1,4,"El proyecto de ley boletín 7335, sobre el voto de chilenos en el extranjero, se relaciona con esta promesa",,"La promesa cuenta con 2 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos",La promesa cuenta con 2 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
13,Deporte,Crea el Ministerio de Transportes,"Y ya está en este Congreso el proyecto de ley que crea el Ministerio del Deporte que, en beneficio de los deportistas chilenos, esperamos que prontamente sea aprobado",100%,4,,,8085-29,Crea el Ministerio del Deporte,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8484&prmBoletin=8085-29,,,,,,,,1,,Promulgado,1,6,15,8,29,,,,1,4,Se especifica la creación del nuevo Ministerio del Deporte,,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
23,Desarrollo Social,Crea el Acuerdo de Vida en Pareja,"Enviamos a este Congreso un proyecto de ley que crea el Acuerdo de Vida en Pareja, que impulsaremos para que sea pronto Ley de la República, y que, además de resguardar derechos patrimoniales, previsionales y de salud, reconoce la dignidad y respeto debido a las relaciones de pareja de más de dos millones de chilenas y chilenos, hétero u homosexuales, que conviven sin estar casados",40%,4,,,7873-07,Proyecto de ley que crea el Acuerdo de Vida en Pareja.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8268&prmBoletin=7873-07,1,,,,,,,,,Primer Tramite,"0,4",6,1,,7,,,,1,4,"Se expone la Nueva Ley de Acuerdo de vida en Pareja. Se explicita lo importante de la dignidad y respecto, así como regulaciones en temas patrimoniales y previsionales",,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
24,Desarrollo Social,Bono de Maternidad,Hoy quiero anunciar el pronto envío de un proyecto de ley que premiará con un Bono de Maternidad a todas las parejas que tengan a futuro tres o más niños,70%,4,,,9040-31,Otorga un bono de apoyo a familias numerosas.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=9447&prmBoletin=9040-31,,,,1,,,,,,Segundo Tramite,"0,7",,7,3,10,,,,1,4,Está explícito el compromiso en la ley que otorga el bono de maternidad por tener tres o más hijos,,El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
14,Educación,Nuevo Sistema Nacional de Acreditación de Instituciones de Educación Superior,Esperamos que este Congreso alcance pronto los consensos para aprobar el nuevo Sistema Nacional de Acreditación de Instituciones de Educación Superior,40%,4,,,8774-04,"Crea Agencia Nacional de Acreditación y, establece un nuevo sistema de acreditación de las instituciones de educación superior.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=9179&prmBoletin=8774-04,1,,,,,,,,,Primer Tramite,"0,4",6,4,,10,,,,1,4,Se menciona explícitamente la creación de la Agenda Nacional de Acreditación y establece un nuevo sistema de Acreditación,,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
15,Educación,Proyecto establece Sistema Único de Financiamiento,Esperamos que este Congreso alcance pronto los consensos para aprobar los proyectos que establecen un nuevo Sistema Único de Financiamiento,80%,"3,3",40%,2,8369-04,Crea un sistema de financiamiento para la educación superior.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8766&prmBoletin=8369-04,1,,,,,,,,,Primer Tramite,"0,4",8,8,,16,,1,,,2,Creación de un sistema de crédito subsidiado,,"La promesa cuenta con 3 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos",La promesa cuenta con 3 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
15,Educación,Proyecto establece Sistema Único de Financiamiento,,,,100%,4,7898-04,Otorga beneficios a los deudores del crédito con garantía estatal y modifica la ley N° 20.027.,http://master.congresoabierto.cl/proyectos/7898-04,,,,,,,,1,,Promulgado,1,3,14,2,19,,,,1,4,"otorga beneficios a los deudores del crédito con garantía estatal y modifica la ley N° 20.027, tienden en conjunto al cumplimiento de la promesa.",,"La promesa cuenta con 3 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos",La promesa cuenta con 3 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
15,Educación,Proyecto establece Sistema Único de Financiamiento,,,,100%,4,7874-04,Proyecto de ley sobre reprogramación de créditos universitarios.,http://master.congresoabierto.cl/proyectos/7874-04,,,,,,,,1,,Promulgado,1,,8,4,12,,,,1,4,El proyecto reprograma a los deudores del crédito universitario. Sirve como complemento al boletín 8369 y 7898,,"La promesa cuenta con 3 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos",La promesa cuenta con 3 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
16,Educación,Reforma Constitucional que establece kinder obligatorio,Enviaré a este Congreso una Reforma Constitucional para establecer el kínder obligatorio,100%,4,,,8997-07,Reforma constitucional que establece la obligatoriedad del segundo nivel de transición y crea un sistema de financiamiento gratuito desde el nivel medio mayor.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=9404&prmBoletin=8997-07,,,,,,,,1,,Promulgado,1,,7,2,9,,,,1,4,Se establece el kinder obligatorio en la ley,,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
17,Educación,Crea la Subsecretaría de Educación Superior,En las próximas semanas enviaremos a este Congreso un proyecto de ley que crea la Subsecretaría de Educación Superior,0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
18,Educación,Proyecto que crea la subvención preferencial para la clase media,"Y si este Congreso aprueba el proyecto que enviamos para crear la subvención preferencial para la clase media, ampliando este beneficio del 40% al 60% de los estudiantes más vulnerables, en régimen, ella beneficiará a 2,2 millones de estudiantes, contribuyendo a una mayor igualdad de oportunidades",40%,4,,,8655-04,"Crea subvención para los establecimientos educacionales, especial, para la clase media.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=9050&prmBoletin=8655-04,1,,,,,,,,,Primer Tramite,"0,4",,6,,6,,,,1,4,Se especifica la creación de la subvención preferencial para la clase media y la ampliación del beneficio de los estudiantes más vulnerables,,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
19,Educación,Proyecto que crea gradualmente la Subvención Universal para niños desde tres años,"Enviaremos un proyecto de ley que crea gradualmente la Subvención Universal para los niños desde los tres años, incluyendo una subvención preferencial para los más vulnerables",80%,"3,3",100%,3,7187-04,"Modifica ley N° 20.248, de subvención escolar preferencial.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=7585&prmBoletin=7187-04,,,,,,,,1,,Promulgado,1,1,20,2,23,,,1,,3,"Se incluye en los dos proyectos la suvbención preferencial para los más vulnerables. En particular, en el segundo se incorpora la subvención para 3° y 4° año de Enseñanza Media. Se debe considerar que no existe un proyecto de ley específico que estupule la Subvención Universal para los niños desde los tres años, pero se comprende de que es parte de un objetivo gradual",,"La promesa cuenta con 3 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos",La promesa cuenta con 3 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
19,Educación,Proyecto que crea gradualmente la Subvención Universal para niños desde tres años,,,,40%,3,9176-04,"Incorpora al 3° y 4° año de enseñanza media, al régimen de Subvención Escolar Preferencial, a contar del año 2014.",http://master.congresoabierto.cl/proyectos/9176-04,1,,,,,,,,,Primer Tramite,"0,4",,,3,3,,,1,,3,"Se incluye en los dos proyectos la suvbención preferencial para los más vulnerables. En particular, en el segundo se incorpora la subvención para 3° y 4° año de Enseñanza Media. Se debe considerar que no existe un proyecto de ley específico que estupule la Subvención Universal para los niños desde los tres años, pero se comprende de que es parte de un objetivo gradual",,"La promesa cuenta con 3 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos",La promesa cuenta con 3 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
19,Educación,Proyecto que crea gradualmente la Subvención Universal para niños desde tres años,,,,100%,4,8070-04,Aumenta las subvenciones del Estado en los establecimientos educacionales.,http://master.congresoabierto.cl/proyectos/8070-04,,,,,,,,1,,Promulgado,1,,13,2,15,,,,1,4,"El proyecto de ley boletín 8070, que aumenta las subvenciones del Estado en los establecimientos educacionales, hace referencia al aumento de la subvención en educación media, por lo cual da cumplimiento a la promesa señalada.",,"La promesa cuenta con 3 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos",La promesa cuenta con 3 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
20,Educación,Crea la Subsecretaría de Educación Superior,En las próximas semanas enviaremos a este Congreso un proyecto de ley que crea la Subsecretaría de Educación Superior,0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
21,Educación,Nueva superintendencia,(Esperamos que este Congreso alcance pronto los consensos para aprobar) la nueva Superintendencia ,40%,4,,,8041-04,Crea la Superintendencia de Educación Superior.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8447&prmBoletin=8041-04,1,,,,,,,,,Primer Tramite,"0,4",6,18,,24,,,,1,4,Se menciona explícitamente la creación de la Superintendencia ,,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
3,Energía,Crea una Carretera Eléctrica Pública,"Estamos impulsando la creación de una Carretera Eléctrica Pública, recientemente fue aprobada en general en el Senado, que fortalece el rol del Estado en la planificación, definición de trazados y otorgamiento de permisos para levantar líneas troncales de transmisión",40%,4,,,8566-08,Regula la carretera eléctrica.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8968&prmBoletin=8566-08,1,,,,,,,,,Primer Tramite,"0,4",4,2,,6,,,,1,4,"Dentro del mensaje se estipula la creación de la carretera eléctrica, se regula los permisos y trazados de las líneas de transmisión",,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
4,Energía,Reforma a la Ley de Concesiones Eléctricas,"También estamos ad portas de aprobar una reforma a la Ley de Concesiones Eléctricas, que simplificará los procedimientos y reducirá los tiempos para el otorgamiento de permisos para las líneas de transmisión, desde los casi 700 días actuales a tan sólo 150",100%,4,,,8270-08,Procedimiento para otorgar concesiones eléctricas.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8662&prmBoletin=8270-08,,,,,,,,1,,Promulgado,1,4,18,6,28,,,,1,4,El mensaje ratifica que se han simplificado los procedimientos y la reducción del tiempo para los otorgamientos de los permisos,,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
5,Energía,Envía proyecto de ley que avanza en interconectar los Sistemas del Norte Grande y Central,"En junio enviaremos a este Congreso un proyecto de ley para avanzar en la interconexión de los Sistemas del Norte Grande y Central, lo que hará más robusto nuestro sistema eléctrico, introducirá más competencia, y favorecerá el ingreso de fuentes alternativas a nuestra matriz, como las energías renovables no convencionales",90%,4,,,9022-08,"Modifica la Ley General de Servicios Eléctricos, con el fin de promover la interconexión de sistemas eléctricos independientes.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=9429&prmBoletin=9022-08,,,,,,,1,,,Aprobación Presidencial,"0,9",1,6,2,9,,,,1,4,"Sí se plantea la conexión entre el SIC y el SING, el ingreso de mas actores y el fomento de la competencia y el impulso de las energías renovables no convencionales como fuente alternativa",,El proyecto de ley se encuentra en proceso de ser promulgado,El proyecto de ley es totalmente coherente con la promesa realizada
29,Estado,Crea Agencia Nacional de Emergencia y Protección Civil en desmedro de ONEMI,"Por eso estamos creando una nueva Agencia Nacional de Emergencia y Protección Civil, que reemplazará a la actual ONEMI, con la participación de nuestras Fuerzas Armadas, Carabineros y Bomberos",70%,4,,,7550-06,Establece el Sistema Nacional de Emergencia y Protección Civil y crea la Agencia Nacional de Protección Civil.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7940&prmBoletin=7550-06,,,,1,,,,,,Segundo Tramite,"0,7",5,48,1,54,,,,1,4,"En el proyecto de ley se menciona explícitamente la creacion de la Agencia y la participación de las Fuerzas Armadas, Carabineros y Bomberos.",,El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
30,Estado,Moderniza Contraloría,Enviaremos a este Congreso un proyecto de ley Orgánico Constitucional para modernizar la Contraloría,0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
25,Infancia y Juventud,Reforma al SENAME,"Enviamos a este Congreso el proyecto de ley que reformula el Servicio Nacional de Menores, haciendo la necesaria distinción entre el Servicio Nacional de la Infancia y Adolescencia, que dependerá del Ministerio de Desarrollo Social, y el Servicio de Responsabilidad Penal Adolescente, que dependerá del Ministerio de Justicia",40%,4,,,8487-07,"Suprime el actual Servicio Nacional de Menores, creando dos nuevos Servicios de atención a la infancia y adolescencia.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=8883&prmBoletin=8487-07,1,,,,,,,,,Primer Tramite,"0,4",5,21,,26,,,,1,4," El proyecto de ley boletín 8487 suprime el actual Servicio Nacional de Menores, creando dos nuevos Servicios de atención a la infancia y adolescencia. Este, posee una coherencia total con la promesa",,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
26,Justicia y DDHH,Moderniza el Código de Procedimiento Civil,"Presentamos un proyecto para modernizar el Código de Procedimiento Civil, que data del siglo XIX",40%,4,,,8197-07,Establece el nuevo Código Procesal Civil.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8596&prmBoletin=8197-07,1,,,,,,,,,Primer Tramite,"0,4",20,3,,23,,,,1,4,Se menciona explicitamente la creacion de un nuevo Código Procesal Civil,,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
27,Justicia y DDHH,Redacta un nuevo Código Penal,"(...) y estamos abocados a la difícil tarea de redactar un nuevo Código Penal, que reemplace al actual, que data de 1874, y estructure un mejor sistema de tipificación de delitos y asignación de penas, acorde a las realidades y necesidades del Chile del siglo XXI",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
28,Justicia y DDHH,Crea la Subsecretaría de Derechos Humanos,"Estamos impulsando una completa reestructuración de nuestra institucionalidad, a través de la presentación a este Congreso del proyecto de ley que crea la Subsecretaría de Derechos Humanos, que asumirá la plena responsabilidad de liderar todos los esfuerzos del Gobierno para asegurar el fiel y estricto respeto de los Derechos Humanos, de todos los ciudadanos, y en todo lugar, tiempo y circunstancias",70%,4,,,8207-07,Crea la Subsecretaría de Derechos Humanos y establece adecuaciones en la Ley Orgánica del Ministerio de Justicia.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8605&prmBoletin=8207-07,,,,1,,,,,,Segundo Tramite,"0,7",5,24,11,40,,,,1,4,Se especifica la creación de la nueva Subsecretaría de Derechos Humanos,,El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
31,Pueblos Indígenas,Crea el consejo de los pueblos indígenas,"Dejar atrás la estrategia de asimilación y reemplazarla por una de verdadera integración, para lo cual requerimos un nuevo y consensuado mecanismo de consulta, y crear el consejo de los pueblos indígenas",0%,1,,,,"Modifica la ley N° 19.253, sobre normas de protección, fomento y desarrollo de los indígenas, estableciendo dieta para los Consejeros Nacionales de la CONADI y para los Comisionados de la CODEIPA que indica.",,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
32,Pueblos Indígenas,Promover desarrollo y cultura de los pueblos indígenas,"Promover su desarrollo económico y social para reducir las brechas existentes y recuperar el tiempo perdido (...) y reconocer valorar y promover su historia, cultura, tradiciones e idioma",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
33,Pueblos Indígenas,Reforma constitucional que reconozca la multiculturalidad,"Una reforma constitucional que reconozca que bajo una misma nación, un mismo territorio, y bajo la jurisdicción y soberanía de un mismo Estado, conviven varias entidades étnicas con culturas diferentes, lo que hace de nuestro país una nación multicultural",40%,4,,,5324-07,Proyecto de reforma constitucional que reconoce el aporte de los pueblos originarios a la conformación de la nación chilena.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=5710&prmBoletin=5324-07,1,,,,,,,,,Primer Tramite,"0,4",9,37,2,48,,,,1,4,"Los proyectos están incluídos en la promesa, sin embargo, no se cumple en el caso de la creación del Consejo de Indígenas. Además, la promesa posee elementos difíciles de medir y ambiguos en su contenido. Los proyectos hacen referencia a la promesa, no obstante, no logran contener todos los elementos de la promesa, que son variados y significativos.",,"La promesa cuenta con 2 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos",La promesa cuenta con 2 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
33,Pueblos Indígenas,Reforma constitucional que reconozca la multiculturalidad,,40%,4,,,5522-07,Reconoce a los pueblos indígenas de Chile.,http://master.congresoabierto.cl/proyectos/5522-07,1,,,,,,,,,Primer Tramite,"0,4",11,37,2,50,,,,1,4,,,"La promesa cuenta con 2 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos",La promesa cuenta con 2 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
34,Salud,Ley de Isapres,Quiero hoy pedir encarecidamente a este Congreso la pronta aprobación de la Ley de Isapres,40%,4,,,7539-11,Introduce criterios de razonabilidad y solidaridad en lo que respecta a las tablas de factores y a la determinación del precio base de los contratos de salud.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7930&prmBoletin=7539-11,1,,,,,,,,,Primer Tramite,"0,4",1,,,1,,,,1,4,Se declara explícitamente la incorporación de un plan garantizado de salud y modificaciones en la ley de isapres. Además establece dejar los cobros excesivos por sexo o edad,,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
