uid,area,titulo,promesa,avance_total,coherencia,,,boletin,titulo_del_proyecto,link,1° tramite,veto,insistencia,2°-3° tramite,comision_mixta,tribunal_constitucional,aprobacion_presidencial,promulgado,rechazado/retirado,nombre_avance,avance,simple,suma,inmediata,total_urgencias,marginal,parcial_minima,parcial_alta,total,escala_de_coherencia,justificacion_avance,justificacion_nota,ja_porque,jn_porque
14,Defensa,Reforma a la justicia Militar,"El proceso de modernización institucional se relaciona con la Justicia Militar y la modificación al Código de Justicia Militar. Planteamos establecer como delitos del fuero militar en tiempo de paz aquellos que exclusivamente afecten un bien jurídico  propiamente  militar  y  siempre  que  sean  cometidos  por militares en el ejercicio de sus funciones, excluyendo como regla general la competencia sobre civiles",100%,4,,,7203-02,"Modifica Sistema de Justicia Militar y establece un régimen más estricto de sanciones, tratándose de delitos contra los miembros de las policías",https://www.camara.cl/pley/pley_detalle.aspx?prmID=7602&prmBoletin=7203-02,,,,,,,,1,,Promulgado,1,,1,3,4,,,,1,4,,Se establecen explícitamente las modificaciones al código de justicia militar que tienen como objetivo acercar la justicia militar a la civil. ,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
15,Defensa,Sustitución de la Ley del Cobre como sistema de financiamiento de la Defensa Nacional,"El sistema de financiamiento a través de la «Ley del Cobre» debe ser sustituido por uno que otorgue estabilidad en un horizonte de mediano plazo, y una vez que se hayan materializado las reformas estructurales del sector",70%,4,,,7678-02,"Establece nuevo mecanismo de financiamiento, de las capacidades estratégicas de la defensa nacional",https://www.camara.cl/pley/pley_detalle.aspx?prmID=8071&prmBoletin=7678-02,,,,1,,,,,,Segundo Tramite,"0,7",3,2,1,6,,,,1,4,,El proyecto tiene una coherencia total con la promesa,El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
17,Defensa,Modernización de ASMAR y ENAER,"Modernizaremos el Gobierno Corporativo de las principales empresas estatales de la Defensa (FAMAE, ASMAR y ENAER), velando por la designación de directores con experiencia empresarial, incluyendo civiles con los resguardos necesarios en materias de seguridad",0%,1,,,,"Moderniza principales empresas estatales de la defensa (FAMAE, ASMAR y ENAER)",,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
18,Defensa,Creación de Ministerio Público militar,"Se creará un Ministerio Público Militar, dependiente del Ministerio de Defensa, encargado de investigar los delitos del fuero militar y ejercer la acción penal, que conocerán los tribunales civiles de la Reforma Procesal Penal",100%,2,,,7203-02,"Modifica Sistema de Justicia Militar y establece un régimen más estricto de sanciones, tratándose de delitos contra los miembros de las policías.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=7602&prmBoletin=7203-02,,,,,,,,1,,Promulgado,1,,1,3,4,,1,,,2,,"El proyecto no crea el ministerio público militar. Sin embargo, establece cambios a la justicia militar como el fuero militar.",El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es marginalmente coherente con la promesa realizada
19,Defensa,Reforma a CAPREDENA,"Perfeccionaremos los beneficios del sistema previsional de la Defensa para sus actuales y futuros imponentes, eliminando descuentos previsionales que no se justifican y recogiendo las especificidades técnicas, de tiempo de desempeño y exigencias físicas que impone la carrera militar y que la hacen distinta de cualquier otra en el mundo civil",95%,4,90%,4,8643-02,"Modifica algunos aspectos previsionales de las Fuerzas Armadas, Fuerzas de Orden y Seguridad Pública y Gendarmería de Chile",https://www.camara.cl/pley/pley_detalle.aspx?prmID=9045&prmBoletin=8643-02,,,,,,,1,,,Aprobación Presidencial,"0,9",1,6,8,15,,,,1,4,,"Se específica en el proyecto la eliminación del 6% para los pensionados de las Fuerzas Armadas y de un 5,95% para el caso de Carabineros","La promesa cuenta con 2 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos ",La promesa cuenta con 2 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
19,Defensa,Reforma a CAPREDENA,,,,100%,4,7441-13,"Modifica ley N° 19.539, permitiendo a los pensionados de la Dirección de Previsión de Carabineros de Chile y, de la Caja de Previsión de la Defensa Nacional, incorporarse a Cajas de Compensación de Asignación Familiar",https://www.camara.cl/pley/pley_detalle.aspx?prmID=7839&prmBoletin=7441-13,,,,,,,,1,,Promulgado,1,,2,,2,,,,1,4,,"Permite a los pensionados de la Dirección de Previsión de Carabineros de Chile y, de la Caja de Previsión de la Defensa Nacional, incorporarse a Cajas de Compensación de Asignación Familiar y complementa el boletín 8643.","La promesa cuenta con 2 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos ",La promesa cuenta con 2 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
20,Democracia,Implementación de la Inscripción automatica y  el Voto voluntario,Perfeccionaremos la institucionalidad electoral estableciendo un sistema de inscripción automática y voto voluntario,100%,4,100%,4,7338-07,"Sobre inscripción automática, Servicio Electoral y sistema de votaciones.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=7731&prmBoletin=7338-07,,,,,,,,1,,Promulgado,1,4,15,5,24,,,,1,4,,"La promesa tiene coherencia total, Piñera se compromete a inscripción automática y voto voluntario","La promesa cuenta con 2 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos ",La promesa cuenta con 2 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
20,Democracia,Implementación de la Inscripción automatica y  el Voto voluntario,,,,100%,4,7962-06,Facilita el proceso de insripción electoral automática.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8357&prmBoletin=7962-06,,,,,,,,1,,Promulgado,1,,,4,4,,,,1,4,,,"La promesa cuenta con 2 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos ",La promesa cuenta con 2 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
22,Democracia,Transparentar a los partidos políticos,"Aumentar las exigencias de transparencia y participación en temas como sus procesos (de los partidos políticos), manejo de recursos y toma de decisiones; y permitiendo  que  el  Estado,  a  través  del  Servicio  Electoral,  facilite  los procesos electorales de decisión interna de los partidos a través de primarias voluntarias",40%,4,,,8937-06,Modifica la Ley Orgánica Constitucional de Partidos Políticos,https://www.camara.cl/pley/pley_detalle.aspx?prmID=9345&prmBoletin=8937-06,1,,,,,,,,,Primer Tramite,"0,4",,,,0,,,,1,4,,La reforma a la Ley Organica Constitucional de Partidos políticos menciona las nuevas reformas que favorecen una rendicion de cuentas por parte de los partidos y transparencia ante la ciudadanía,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
23,Democracia,Perfeccionar la exclusividad parlamentaria,"Perfeccionaremos  las  normas  sobre  incompatibilidades, inhabilidades y prohibiciones de parlamentarios y otras autoridades",50%,4,70%,4,7616-06,Probidad en la Función Pública.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8012&prmBoletin=7616-06,,,,1,,,,,,Segundo Tramite,"0,7",15,27,,42,,,,1,4,,Se específica que el la persona debe desprenderse de Administración y la propiedad,"La promesa cuenta con 3 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos ",La promesa cuenta con 3 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
23,Democracia,Perfeccionar la exclusividad parlamentaria,,,,40%,4,5898-07,"Regula obligación de ciertas autoridades públicas de constituir un mandato especial de administación ciega de patrimonio y de enajenar activos, en los casos y forma que indica",https://www.camara.cl/pley/pley_detalle.aspx?prmID=6299&prmBoletin=5898-07,1,,,,,,,,,Primer Tramite,"0,4",9,5,,14,,,,1,4,,El proyecto establece un fideicomiso ciego para las personas que desempeñan la función pública,"La promesa cuenta con 3 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos ",La promesa cuenta con 3 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
23,Democracia,Perfeccionar la exclusividad parlamentaria,,,,40%,4,7185-07,"Modifica ley N° 18.575, Orgánica Constitucional de Bases Generales de la Administración del Estado, en lo referente a la declaración de intereses y de patrimonio.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=7584&prmBoletin=7185-07,1,,,,,,,,,Primer Tramite,"0,4",,,,0,,,,1,4,,"El proyecto contempla la separación entre lo público y privado, estableciendo mecanismos como el fideicomiso","La promesa cuenta con 3 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos ",La promesa cuenta con 3 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
24,Democracia,Promoción de la Democracia directa,"Se fomentará el uso más frecuente de fórmulas de democracia directa: plebiscitos y consultas no vinculantes, simplificando sus requisitos y procedimientos",40%,2,,,7308-06,Sobre plebiscito y consultas de carácter comunal.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7700&prmBoletin=7308-06,,1,,,,,,,,Veto,"0,4",6,19,2,27,,1,,,2,,"Hace referencia a esta promesa pero posee una coherencia marginal al aumentar los criterios de aplicación de los plebiscitos de un 5% a un 10% de los votantes en la última elección municipal y no del padrón electoral, por lo que dificulta más la realización de los mismos en lugar de promoverlos",El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es marginalmente coherente con la promesa realizada
25,Democracia,Implementación del Sistema de Primarias legales,"Establecimiento de un sistema de primarias voluntarias y vinculantes, bajo el control del Servicio Electoral, para elegir a los candidatos a Presidente de la República, Senador, Diputado y Alcalde",100%,4,,,7911-06,"Establece el Sistema de Elecciones Primarias para la nominación de candidatos a Presidente de la República, Parlamentarios y Alcaldes",https://www.camara.cl/pley/pley_detalle.aspx?prmID=8304&prmBoletin=7911-06,,,,,,,,1,,Promulgado,1,,20,1,21,,,,1,4,,"El proyecto de ley boletín 7911, que establece el Sistema de Elecciones Primarias para la nominación de candidatos a Presidente de la República, Parlamentarios y Alcaldes cumple con la promesa señalada.",El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
26,Democracia,Voto de chilenos en el Extrajero,Proponemos extender el derecho a voto a los chilenos que residen en el extranjero y que mantengan vínculos y pertenencia con el país,55%,4,70%,4,9069-07,Regula el ejercicio del sufragio de los ciudadanos que se encuentran fuera del país.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=9474&prmBoletin=9069-07,,,,1,,,,,,Segundo Tramite,"0,7",,,,0,,,,1,4,,"El proyecto contempla el voto de los chilenos en el extranjero y su vínculo con Chile, expresado en la previa inscripción en embajadas o consulados chilenos","La promesa cuenta con 2 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos ",La promesa cuenta con 2 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
26,Democracia,Voto de chilenos en el Extrajero,,,,40%,4,7335-07,Sobre voto de chilenos en el extranjero,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7730&prmBoletin=7335-07,,,1,,,,,,,Insistencia,"0,4",4,1,,5,,,,1,4,,"El proyecto de ley boletín 7335, sobre el voto de chilenos en el extranjero, se relaciona con esta promesa","La promesa cuenta con 2 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos ",La promesa cuenta con 2 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
118,Democracia,Elección directa de consejeros regionales,"Se presentará una reforma legal en orden a implementar la elección directa de los Consejeros Regionales, tal como se aprobó recientemente por nuestro Congreso Nacional",100%,4,,,7923-06,Establece elección directa de los Consejeros Regionales.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8317&prmBoletin=7923-06,,,,,,,,1,,Promulgado,1,4,15,2,21,,,,1,4,,"Los proyectos de ley boletines 7923, que establece elección directa de los consejeros regionales  y 8715, que establece un mecanismo transitorio para la elección de consejeros regionales, tienden a dar cumplimiento a esta promesa. Para el cálculo de cumplimiento de esta promesa, el estado de avance de ambos proyectos se promedió y la complementariedad entre ambos se consideró con concordancia total con la promesa",El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
29,Deporte,Reforma al Reglamento de organizaciones deportivas,"Mejoraremos y profesionalizaremos los gobiernos corporativos de las federaciones deportivas, enmendando el Reglamento de Organizaciones Deportivas, y promoviendo la existencia de gerencias remuneradas",70%,4,,,6965-07,Relativo a las federaciones deportivas nacionales,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7366&prmBoletin=6965-07,,,,1,,,,,,Segundo Tramite,"0,7",,16,1,17,,,,1,4,,Menciona mecanismos para profesionalizar a las federaciones deportivas y fondos para remuneración de deportistas y directivos,El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
31,Deporte,Modificación ley de Deportes,"Promoveremos la generación de mayores  recursos privados destinados a donaciones deportivas modificando la Ley del Deporte, aumentando y flexibilizando los límites a donaciones que establece la ley",70%,4,,,8316-29,Modifica Ley del Deporte.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8713&prmBoletin=8316-29,,,,1,,,,,,Segundo Tramite,"0,7",8,1,,9,,,,1,4,,Flexibiliza el monto de las donaciones para financiar proyectos deportivos,El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
33,Desarrollo Social,Fomento a la contratación laboral de personas con discapacidad en el sector público,Realizaremos ajustes legales concretos para fomentar la contratación en el sector público de personas con discapacidad,0%,1,,,,Fomenta la contratación en el sector público de personas con discapacidad,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
70,Desarrollo Social,Regulación de convivencia civil,"Protegeremos sus derechos (de quienes viven en pareja sin estar casados) de acceso a la salud, a la previsión, a la herencia y a otros beneficios sociales, removiendo los obstáculos que hoy les impiden ese acceso y las discriminaciones existentes, de forma de construir una sociedad inclusiva y acogedora y no excluyente y castigadora",40%,4,,,7873-07,Proyecto de ley que crea el Acuerdo de Vida en Pareja.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8268&prmBoletin=7873-07,1,,,,,,,,,Primer Tramite,"0,4",6,1,,7,,,,1,4,,"Se expone la Nueva Ley de Acuerdo de vida en Pareja. Se explicita lo importante de la dignidad y respecto, así como regulaciones en temas patrimoniales y previsionales",El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
92,Desarrollo Social,Financiamiento a la acción social,"Creación de un mecanismo mediante el cual el Estado suplemente los aportes privados a instituciones de la sociedad civil dedicadas a trabajar con la población en condiciones de pobreza extrema, en un monto similar al aportado por las entidades privadas",0%,1,,,,Financia la acción social suplementando aportes privados,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
94,Desarrollo Social,Bono Marzo,"Se entregará el «Bono Marzo» por un monto de $40.000 por carga familiar, a las familias que reciben el Subsidio Único Familiar, la Asignación Familiar y Maternal, y a quienes son beneficiarios del programa Chile Solidario",100%,4,,,6882-05,"Modifica la ley N° 20.428, que otorga un bono solidario a las familias de menores ingresos",https://www.camara.cl/pley/pley_detalle.aspx?prmID=7277&prmBoletin=6882-05,,,,,,,,1,,Promulgado,1,,2,,2,,,,1,4,,Entrega un bono de 40.000 pesos en Marzo,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
96,Desarrollo Social,Ingreso Etico Familiar,"La creación de un Ingreso Ético Familiar, cuyos componentes serán el Subsidio Único Familiar, un Bono de Capacitación y un Subsidio al Trabajo. Este Ingreso Ético Familiar irá acompañado de algunos requerimientos para acceder a él, tales como asistencia escolar, control de salud, esfuerzos de capacitación y búsqueda de empleo. En el caso del subsidio por niño, éste se aumentará significativamente. Existirá un mecanismo gradual de retiro de las transferencias recibidas por los grupos beneficiarios",100%,4,,,7992-06,Establece bonos y transferencias condicionadas para las familias de extrema pobreza y crea subsidio al empleo de la mujer.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8388&prmBoletin=7992-06,,,,,,,,1,,Promulgado,1,,4,6,10,,,,1,4,,Crea el ingreso ético familiar con el bono de Egreso y para el trabajo de la Mujer.,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
98,Desarrollo Social,Ministerio de Desarrollo social,"Creación del  Ministerio de Desarrollo Social, que funcionará en La Moneda bajo la directa supervisión del Presidente de la República",100%,4,,,7196-06,Crea el Ministerio de Desarrollo Social.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7623&prmBoletin=7196-06,,,,,,,,1,,Promulgado,1,4,7,,11,,,,1,4,,Se crea el Ministerio de Desarrollo Social,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
130,Desarrollo Social,Fomento al empleo Part-time,"Se promoverán los Empleos a Tiempo Parcial, con contrato simplificado, para adultos mayores que hayan jubilado y que quieran seguir trabajando en trabajos por horas o en media jornada",0%,1,,,,Promueve los empleo a tiempo parcial para adultos mayores que hayan jubilado,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
131,Desarrollo Social,Eliminación del 7% de descuento a jubilados,Avanzaremos gradualmente y de manera focalizada en la reducción del descuento del 7% que se efectúa a los jubilados para su salud,100%,4,,,7570-11,"Exime, total o parcialmente, de la obligación de cotizar para salud a los pensionados que se indica.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=7958&prmBoletin=7570-11,,,,,,,,1,,Promulgado,1,,4,2,6,,,,1,4,,Se cumple gradualmente la reducción del 7 % de la pensión de los jubilados,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
150,Desarrollo Social,Bono bodas de oro,Entregaremos el «Bono Bodas de Oro» para todos los matrimonios que cumplan 50 años de casados,100%,4,100%,4,7074-05,Otorga un bono a los cónyuges que cumplan cincuenta años de matrimonio.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7471&prmBoletin=7074-05,,,,,,,,1,,Promulgado,1,1,6,,7,,,,1,4,,El proyecto de ley posee coherencia total con la promesa.,"La promesa cuenta con 2 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos ",La promesa cuenta con 2 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
150,Desarrollo Social,Bono bodas de oro,,,,100%,4,8443-05,"Anticipa el pago del bono de la ley N° 20.506, Bono Bodas de Oro, para los matrimonios que se indican.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=8835&prmBoletin=8443-05,,,,,,,,1,,Promulgado,1,,1,1,2,,,,1,4,,El proyecto de ley posee coherencia total con la promesa.,"La promesa cuenta con 2 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos ",La promesa cuenta con 2 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
7,Economía y Comercio,Eliminación de impuestos a la exportación de servicios financieros,"Se eliminarán los impuestos a la exportación de servicios financieros, estableceremos los incentivos para que las garantías puedan ser transferibles entre las distintas instituciones financieras y permitiremos que entidades financieras extranjeras puedan ofrecer directamente servicios, con la regulación adecuada",100%,4,,,7966-05,Administración de Fondos de Terceros y Carteras Individuales y deroga los cuerpos legales que indica.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8363&prmBoletin=7966-05,,,,,,,,1,,Promulgado,1,17,4,1,22,,,,1,4,,El proyecto elimina impuestos a la exportación de servicios y permite la participación de entidades extranjeras. ,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
36,Economía y Comercio,Autorización automatica de contratos estandarizados,"Se facilitará la emisión de bonos, fondos mutuos y fondos de emisión, a través de regímenes de autorización automática de contratos estandarizados",100%,4,,,7966-05,Administración de Fondos de Terceros y Carteras Individuales y deroga los cuerpos legales que indica.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8363&prmBoletin=7966-05,,,,,,,,1,,Promulgado,1,4,17,1,22,,,,1,4,,"El proyecto de ley modifica los contratos. Sobretodo, sube los estandares para estandarizar el marco regulatorio para los fondos.",El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
37,Economía y Comercio,Simplificación para la creación de empresas,"Eliminaremos  las  trabas  burocráticas  que  hoy  dificultan  la  creación de empresas y promoveremos la competencia, incentivando la innovación, el emprendimiento, la creatividad y la eficiencia",100%,4,100%,4,7328-03,"Simplifica el régimen de constitución, modificación y disolución de las sociedades comerciales.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=7720&prmBoletin=7328-03,,,,,,,,1,,Promulgado,1,8,26,10,44,,,,1,4,,El proyecto de ley menciona instancias para agilizar la creación de empresas,"La promesa cuenta con 2 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos ",La promesa cuenta con 2 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
