uid,area,titulo,promesa,avance_total,,boletin,titulo_proyecto,link,1° tramite,veto,insistencia,2°-3° tramite,comision_mixta,tribunal_constitucional,aprobacion_presidencial,promulgado,rechazado/retirado,nombre_avance,avance,simple,suma,inmediata,total_urgencias,ja_porque
26,Democracia,Derecho a voto de chilenos en el extranjero,,,100%,10344-06,Regula el ejercicio del sufragio de los ciudadanos que se encuentran fuera del país.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=10765&prmBoletin=10344-06,,,,,,,,1,,Promulgado,1,2,8,,10,"La promesa cuenta con 2 proyectos de ley asociados en distintos trámites constiitucionales, el avance total de la promesa es el promedio del avance de esos proyectos"
39,Desarrollo social,Creación de la Subsecretaría de la Discapacidad,"Establecer la institucionalidad pública será una prioridad. Crearemos la Subsecretaría de la Discapacidad, que impulsará de manera transversal el tema, teniendo como eje la integración y necesidades de las personas con discapacidad y sus familias",0%,,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa
83,Desarrollo social,Apoyo al Comité Paralímpico Chileno,"Apoyar el funcionamiento del Comité Paralímpico Chileno independiente del Comité 
Olímpico",100%,,9837-29,"Modifica la ley N° 19.712, del Deporte, y la ley N° 20.686, que  Crea el Ministerio del Deporte, con el objeto de incorporar el  deporte adaptado y paralímpico",https://www.camara.cl/pley/pley_detalle.aspx?prmID=10258,,,,,,,,1,,Promulgado,1,1,6,1,8,El proyecto de ley asociado se encuentra publicado y es Ley de la República
85,Desarrollo social,Reforma a la Ley Zamudio,"En materia legislativa, promoveremos una reforma a la Ley 20.609, de no discriminación, respondiendo a la demanda transversal de las organizaciones de la sociedad civil que intervinieron en su tramitación, de tal modo que no quede reducida simplemente a la consagración de una acción judicial, sino que se establezca el deber para el Estado de elaborar políticas públicas contra la discriminación, acciones afirmativas a favor de los grupos históricamente discriminados y medidas de reparación",0%,,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa
86,Desarrollo social,Medidas contra la incitación al odio,"Junto a ello, evaluaremos una iniciativa en contra de la incitación al odio, que contemple todas las categorías establecidas en la actual ley de no discriminación",40%,,7130-07,Tipifica el delito de incitación al odio racial y religioso,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7531&prmBoletin=7130-07,1,,,,,,,,,Primer Tramite,"0,4",9,10,,19,El proyecto de ley asociado se encuentra en primer trámite constitucional
150,Desarrollo social,Ley de Aporte Familiar Permanente Marzo,"En los primeros 100 días de Gobierno, enviaremos al Congreso, con discusión inmediata, el proyecto de ley del Aporte Familiar Permanente Marzo",100%,,9273-05,Concede aporte familiar permanente de marzo y ajusta norma que indica.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=9681&prmBoletin=9273-05,,,,,,,,1,,Promulgado,1,,,2,2,El proyecto de ley asociado se encuentra publicado y es Ley de la República
151,Desarrollo social,Nueva institucionalidad para la medición de la pobreza,Crearemos una nueva institucionalidad para la medición de la pobreza,70%,,10372-03,Crea una nueva institucionalidad del sistema estadístico nacional.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=10795&prmBoletin=10372-03,,,,1,,,,,,Segundo Tramite,"0,7",8,5,,13,El proyecto de ley asociado se encuentra en segundo trámite constitucional
152,Desarrollo social,Beneficios previsionales a adultos mayores,"Adicionalmente, evaluaremos e implementaremos una normativa que permita hacer extensiva la asignación por muerte a la totalidad de los adultos mayores que tienen PBS y a los beneficiarios de APS con saldo cero en su cuenta individual",100%,,10201-13,"Exime de la obligación de efectuar cotizaciones de salud a pensionados mayores de 65 años, facilita la tramitación de prestaciones de vejez y otorga otros beneficios que indica.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=10616&prmBoletin=10201-13,,,,,,,,1,,Promulgado,1,,3,,3,El proyecto de ley asociado se encuentra publicado y es Ley de la República
3,Economía y Comercio,Transparencia Asociaciones de Consumidores,"Eliminar las restricciones legales que establece que las Asociaciones sólo pueden realizar actividades lucrativas para la recuperación de sus costos y como contrapartida, incrementar las obligaciones de transparencia de su financiamiento y exigir normas de contabilidad regulatoria",90%,,9369-03,"Modifica ley N° 19.496, sobre Protección de los Derechos de los 
Consumidores.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=9783,,,,,,,1,,,Aprobación Presidencial,"0,9",10,45,7,62,El proyecto de ley asociado se encuentra trámite de aprobación presidencial
20,Economía y Comercio,Financiamiento de Asociaciones de Consumidores,Elevar los fondos estatales para el financiamiento de las Asociaciones de Consumidores,90%,,9369-03,"Modifica ley N° 19.496, sobre Protección de los Derechos de los Consumidores.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=9783,,,,,,,1,,,Aprobación Presidencial,"0,9",10,46,7,63,El proyecto de ley asociado se encuentra trámite de aprobación presidencial
31,Economía y Comercio,Indemnización a consumidores,Avanzar en establecer compensaciones e indemnizaciones que aseguren una disuasión efectiva y una reparación adecuada en el ámbito de los Derechos de los Consumidores,90%,,9369-03,"Modifica ley N° 19.496, sobre Protección de los Derechos de los 
Consumidores.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=9783,,,,,,,1,,,Aprobación Presidencial,"0,9",10,46,7,63,El proyecto de ley asociado se encuentra trámite de aprobación presidencial
43,Economía y Comercio,Nuevo estatus legal para el Fondo de Innovación para la Competitividad,"El Fondo de Innovación para la Competitividad (FIC) (...) contarán con un nuevo estatus legal, que les permita estabilidad, junto con ampliar su ámbito de preocupación desde la competitividad al desarrollo nacional, manteniendo el énfasis en los temas de la investigación científica, el desarrollo tecnológico, la innovación y el emprendimiento, tanto en su dimensión productiva como social",0%,,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa
44,Economía y Comercio,"Creación de la Subsecretaría de Ciencia, Tecnología e Innovación","En el ámbito institucional, fortaleceremos al Ministro de Economía en su rol de autoridad responsable en el campo de la innovación y el desarrollo productivo, creando la Subsecretaría de Ciencia, Tecnología e Innovación",70%,,11101-19,Crea el Ministerio de Ciencia y Tecnología.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=11615&prmBoletin=11101-19,,,,,1,,,,,Comisión Mixta,"0,7",4,3,3,10,El proyecto de ley asociado se encuentra en segundo trámite constitucional
45,Economía y Comercio,Reforma Tributaria,En los primeros 100 días de Gobierno se enviará al Congreso el Proyecto de Ley de Reforma Tributaria,100%,,9290-05,Reforma tributaria que modifica el sistema de tributación de la renta e introduce diversos ajustes en el sistema tributario. ,https://www.camara.cl/pley/pley_detalle.aspx?prmID=9702&prmBoletin=9290-05,,,,,,,,1,,Promulgado,1,6,1,,7,El proyecto de ley asociado se encuentra publicado y es Ley de la República
46,Economía y Comercio,Fortalecimiento del SERNAC,"En los primeros 100 días de Gobierno, enviaremos al Congreso el proyecto de ley del fortalecimiento del SERNAC, que permitirá que tenga atribuciones reales y efectivas para defender los derechos de los consumidores",90%,,9369-03,"Modifica ley N° 19.496, sobre Protección de los Derechos de los Consumidores. ",https://www.camara.cl/pley/pley_detalle.aspx?prmID=9783&prmBoletin=9369-03,,,,,,,1,,,Aprobación Presidencial,"0,9",10,46,7,63,El proyecto de ley asociado se encuentra trámite de aprobación presidencial
47,Economía y Comercio,Regulación de juicios colectivos,"Revisaremos la regulación de los juicios colectivos, para asegurar un procedimiento eficiente que procure soluciones adecuadas",90%,,9369-03,"Modifica ley N° 19.496, sobre Protección de los Derechos de los Consumidores. ",https://www.camara.cl/pley/pley_detalle.aspx?prmID=9783&prmBoletin=9369-03,,,,,,,1,,,Aprobación Presidencial,"0,9",10,46,7,63,El proyecto de ley asociado se encuentra trámite de aprobación presidencial
48,Economía y Comercio,Creación de una Coordinación Institucional en materia de protección a los consumidores,"Para una mejor coordinación institucional, estableceremos en la Ley de Protección de los Derechos de los Consumidores un Sistema Integrado cuya coordinación técnica corresponderá al SERNAC, y que considerará la creación de un Consejo en el que participarán representantes de agencias públicas reguladoras y fiscalizadoras ",0%,,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa
49,Economía y Comercio,Establecimiento de la dedicación preferente o exclusiva de ministros del TDLC,"Cambiaremos el régimen de los ministros del Tribunal de la Libre Competencia (TDLC), hacia uno de dedicación preferente o exclusiva, estableciendo remuneraciones acordes y fijando una compensación para cuando los ministros cesen en el cargo",100%,,9950-03,"Modifica el decreto con fuerza de ley N° 1, de 2004, del Ministerio de Economía, Fomento y Reconstrucción, que Fija el texto refundido, coordinado y sistematizado del decreto ley N° 211, de 1973, que Fija normas para la defensa de la libre competencia.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=10362&prmBoletin=9950-03,,,,,,,,1,,Promulgado,1,2,19,13,34,El proyecto de ley asociado se encuentra publicado y es Ley de la República
50,Economía y Comercio,Sanciones en casos que atenten contra la libre competencia,"Sanciones en temas contenciosos. Cambiaremos el tope máximo de las sanciones por porcentaje de ventas obtenidas; introduciremos una sanción adicional para personas involucradas de inhabilitación para directorios, organismos públicos, asociaciones gremiales y colegios profesionales y una sanción adicional para empresas involucradas, excluyéndolas de participar en licitaciones del Estado",100%,,9950-03,"Modifica el decreto con fuerza de ley N° 1, de 2004, del Ministerio de Economía, Fomento y Reconstrucción, que Fija el texto refundido, coordinado y sistematizado del decreto ley N° 211, de 1973, que Fija normas para la defensa de la libre competencia.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=10362&prmBoletin=9950-03,,,,,,,,1,,Promulgado,1,2,19,13,34,El proyecto de ley asociado se encuentra publicado y es Ley de la República
51,Economía y Comercio,Reforzamiento de legislación anti colusión,"Reforzamiento de normas contra colusión. Evaluaremos la inclusión de un tipo penal explícito para carteles más gravosos para los mercados, que sancione los acuerdos entre competidores que les confieran poder de mercado",100%,,9950-03,"Modifica el decreto con fuerza de ley N° 1, de 2004, del Ministerio de Economía, Fomento y Reconstrucción, que Fija el texto refundido, coordinado y sistematizado del decreto ley N° 211, de 1973, que Fija normas para la defensa de la libre competencia.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=10362&prmBoletin=9950-03,,,,,,,,1,,Promulgado,1,2,19,13,34,El proyecto de ley asociado se encuentra publicado y es Ley de la República
52,Economía y Comercio,Introducción de normas sobre operaciones de concentración,"Introduciremos en la legislación normas sobre control de operaciones de concentración, explicitando la figura de disminución sustancial de la libre competencia",100%,,9950-03,"Modifica el decreto con fuerza de ley N° 1, de 2004, del Ministerio de Economía, Fomento y Reconstrucción, que Fija el texto refundido, coordinado y sistematizado del decreto ley N° 211, de 1973, que Fija normas para la defensa de la libre competencia.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=10362&prmBoletin=9950-03,,,,,,,,1,,Promulgado,1,2,19,13,34,El proyecto de ley asociado se encuentra publicado y es Ley de la República
53,Economía y Comercio,Fortalecimiento de la Fiscalía Nacional Económica,"Fortaleceremos las capacidades técnicas y profesionales de la FNE; estableceremos plazos acotados para sus investigaciones; la facultad para que emita fundadamente advertencias y para requerir información estadística a otros organismos del Estado y de evaluar aquellos mercados que presentan fallas persistentes o que sufren el impacto de regulaciones en la competencia, con el fin de dictar normas especiales cuando las fallas de mercado lo justifiquen y modificar aquellas normas que propician o permiten restricciones injustificadas al correcto funcionamiento competitivo",100%,,9950-03,"Modifica el decreto con fuerza de ley N° 1, de 2004, del Ministerio de Economía, Fomento y Reconstrucción, que Fija el texto refundido, coordinado y sistematizado del decreto ley N° 211, de 1973, que Fija normas para la defensa de la libre competencia.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=10362&prmBoletin=9950-03,,,,,,,,1,,Promulgado,1,2,19,13,34,El proyecto de ley asociado se encuentra publicado y es Ley de la República
54,Economía y Comercio,Fortalecimiento de facultades de la Superintendencia de Bancos e Instituciones Financieras,"Para hacerse cargo de este diagnóstico, entregaremos facultades a la Superintendencia de Bancos e Instituciones Financieras (SBIF) para supervisar por solvencia cualquier agente financiero y crediticio relevante. Esto debe incluir a cajas de compensación, cooperativas y empresas de comercio, entre otras. La SBIF estará facultada para decidir las entidades específicas que serían supervisadas bajo su alero, en base a criterios de ser entidad financiera, tener un tamaño mínimo y un cierto apalancamiento relevante",100%,,8132-26,"Modifica el Decreto con Fuerza de Ley N° 5, de 2003, del Ministerio de Economía, Fomento y Reconstrucción, que fija el texto refundido, coordinado y sistematizado de la Ley General de Cooperativas",https://www.camara.cl/pley/pley_detalle.aspx?prmID=8530&prmBoletin=8132-26,,,,,,,,1,,Promulgado,1,11,7,,18,El proyecto de ley asociado se encuentra publicado y es Ley de la República
55,Economía y Comercio,Introducción de normas sobre conglomerados financieros,"Complementariamente incorporaremos un capítulo de conglomerados financieros en los cuerpos legales pertinentes, donde se defina al conglomerado financiero como objeto de supervisión, se determinen sus requerimientos de capital, liquidez y gobierno, se defina al supervisor, y se separe la parte financiera del conglomerado del resto del grupo económico",0%,,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa
142,Economía y Comercio,Modernización del SERNAPESCA,"Complementariamente, es esencial modernizar el Servicio Nacional de Pesca (Sernapesca). El sub-reporte, la pesca ilegal, o simplemente la no fiscalización de los desembarques, contribuyen a la sobreexplotación. Contar con una institucionalidad fiscalizadora a la altura de los desafíos es también fundamental",70%,,10482-21,Moderniza y fortalece el ejercicio de la función pública del Servicio Nacional de Pesca,https://www.camara.cl/pley/pley_detalle.aspx?prmID=10909&prmBoletin=10482-21,,,,1,,,,,,Segundo Tramite,"0,7",5,37,,42,El proyecto de ley asociado se encuentra en segundo trámite constitucional
143,Economía y Comercio,Eliminación progresiva de la pesca de arrastre,"Asimismo, consideraremos la veda biológica legal de pesquerías declaradas colapsadas, junto con la eliminación progresiva de la pesca de arrastre, mediante una transición que genere los mínimos impactos en la industria nacional",0%,,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa
144,Economía y Comercio,Creación del Instituto de Desarrollo de la Pesca Artesanal,"Por ello, impulsaremos el Instituto de Desarrollo de la Pesca Artesanal, con recursos y presencia regional, para que sea un motor de desarrollo social y económico de este sector",100%,,9689-21,"Crea el Instituto Nacional de Desarrollo Sustentable de la Pesca Artesanal y de la Acuicultura de Pequeña Escala, INDESPA.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=10103&prmBoletin=9689-21,,,,,,,,1,,Promulgado,1,3,38,,41,El proyecto de ley asociado se encuentra publicado y es Ley de la República
145,Economía y Comercio,Protección de la pesca artesanal,"Adicionalmente, asumimos el compromiso de concretar durante el próximo período presidencial la extensión de las 5 millas de protección artesanal desde Chiloé hasta el extremo sur, para que en todo el país exista una zona exclusiva para pescadores artesanales, y no se discrimine a los pescadores australes",0%,,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa
146,Economía y Comercio,Inclusión de pescadores artesanales del sistema de pensiones y de salud,"En materia de seguridad social, realizaremos los esfuerzos necesarios para incorporar a los pescadores artesanales, tanto al sistema de pensiones, como a la salud laboral, participando de la ley de Accidentes del Trabajo y Enfermedades Profesionales",0%,,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa
147,Economía y Comercio,Evaluación de la Ley de Pesca,"En el ámbito de la pesca debemos velar por que los instrumentos legales cautelen los intereses y demandas de todos los sectores involucrados, con una preocupación especial por aquellos más vulnerables. Por esto, realizaremos una evaluación de la Ley de Pesca aprobada durante la actual administración",0%,,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa
34,Educación,Obligatoriedad de evaluación egreso de pedagogía,Establecer el carácter obligatorio y habilitante de la evaluación de egreso de pedagogía,100%,,10008-04,Crea el Sistema de Desarrollo Profesional Docente y modifica otras normas,https://www.camara.cl/pley/pley_detalle.aspx?prmID=10422&prmBoletin=10008-04,,,,,,,,1,,Promulgado,1,3,5,2,10,El proyecto de ley asociado se encuentra publicado y es Ley de la República
56,Educación,Establecimiento de la obligatoriedad del pre-kinder,"En relación a la población de pre-kínder y kínder, la cobertura actual es casi completa, por lo que la propuesta es avanzar hacia la obligatoriedad de pre-kinder",0%,,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa
57,Educación,Creación de la Subsecretaría y la Intendencia de Educación Parvularia,"Modernizaremos la institucionalidad de la educación parvularia, separando el rol de diseño de política, creando una Subsecretaría de Educación Parvularia en el Ministerio de Educación (MINEDUC), del rol fiscalizador, ejercido por una Intendencia de Educación Parvularia en la Superintendencia de Educación, y del rol de provisión del servicio, a cargo de JUNJI, Integra y otros prestadores debidamente acreditados",100%,,9365-04,"Crea la Subsecretaría de Educación Parvularia, la Intendencia de Educación Parvularia y, modifica diversos cuerpos legales.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=9779&prmBoletin=9365-04,,,,,,,,1,,Promulgado,1,8,4,3,15,El proyecto de ley asociado se encuentra publicado y es Ley de la República
58,Educación,Eliminación del lucro en las instituciones de educación que reciban recursos públicos,"Se eliminará la existencia de lucro con recursos públicos, por tanto, se dirigirá el financiamiento público únicamente a instituciones sin fines de lucro, que tengan como único fin la entrega de educación de calidad en el marco de un derecho social",100%,,9366-04,"Regula la admisión de los y las estudiantes, elimina el financiamiento compartido y prohíbe el lucro en establecimientos educacionales que reciben aportes del Estado.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=9781&prmBoletin=9366-04,,,,,,,,1,,Promulgado,1,6,5,3,14,El proyecto de ley asociado se encuentra publicado y es Ley de la República
59,Educación,Eliminación gradual del financiamiento compartido en las instituciones de educación,"Terminaremos gradualmente con el financiamiento compartido. (...) El fin del financiamiento compartido, junto con otros mecanismos de selección permitirán terminar con la segregación social en la educación financiada con recursos públicos",100%,,9366-04,"Regula la admisión de los y las estudiantes, elimina el financiamiento compartido y prohíbe el lucro en establecimientos educacionales que reciben aportes del Estado.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=9781&prmBoletin=9366-04,,,,,,,,1,,Promulgado,1,6,5,3,14,El proyecto de ley asociado se encuentra publicado y es Ley de la República
60,Educación,Eliminación de la selección en las instituciones de educación,"Terminaremos con toda forma de selección a nivel de la escuela, tanto económica, social, académica y conductual",100%,,9366-04,"Regula la admisión de los y las estudiantes, elimina el financiamiento compartido y prohíbe el lucro en establecimientos educacionales que reciben aportes del Estado.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=9781&prmBoletin=9366-04,,,,,,,,1,,Promulgado,1,6,5,3,14,El proyecto de ley asociado se encuentra publicado y es Ley de la República
